recall_Recommend_article,recall_Content_surprise,recall_view_opinion,PID,treatment,article,study,topic_inv_drug_overdose_vlaue_opinion,topic_inv_defend_view_point_drugOverdose,topic_inv_learning_drug_overdose,topic_inv_motivation_gaining_knowledge,att_elic_drug_overdose_opinion_pre,att_elic_combat_drug_priority_pre,att_elic_opinion_on_drug_legalization_pre,att_elic_drug_overdose_opinion_post,att_elic_combat_drug_priority_post,att_elic_opinion_on_drug_legalization_post,gender,race,education,age,race-Comment,education-Comment,gender-Comment,survey_start,study_finish,study_duration,cogref_race,cogref_sheep,cogref_name,cogref_volume,cogref_Superbowl,exclude
A lot,Moderately,Extremely,00f375119d22,control,opioids,two,Extremely,A lot,A lot,A lot,Serious problem,High Priority,Somewhat Favor,serious problem,High Priority,Somewhat Favor,Woman,Native American,High School,51,,,,1679512120918.0,1679514630956.0,41.83396666666667,Second,Eight,Emily,0,The Eagles believe the field conditions played a part in them not playing as well as they would have liked to during the Super Bowl.,0
Extremely,A lot,A lot,6ca2f97d4a43,control,drugOverdose,two,A lot,Extremely,A lot,A lot,Serious problem,Moderate Priority,Somewhat Favor,Extremely serious problem,High Priority,Neutral,Woman,White/Caucasian/European,Masters,34,,,,1679512214050.0,1679513933443.0,28.65655,Second,8,Emily,27,"The Eagles players expressed frustration with the poor field conditions at Arizona's stadium, but acknowledged that the Chiefs deserved to win.",0
Extremely,Extremely,A lot,6ca2f97d4a43,control,population,two,A lot,Extremely,A lot,A lot,Serious problem,Moderate Priority,Somewhat Favor,Extremely serious problem,High Priority,Neutral,Woman,White/Caucasian/European,Masters,34,,,,1679512214050.0,1679513933443.0,28.65655,Second,8,Emily,27,"The Eagles players expressed frustration with the poor field conditions at Arizona's stadium, but acknowledged that the Chiefs deserved to win.",0
A lot,Moderately,Extremely,6ca2f97d4a43,control,opioids,two,A lot,Extremely,A lot,A lot,Serious problem,Moderate Priority,Somewhat Favor,Extremely serious problem,High Priority,Neutral,Woman,White/Caucasian/European,Masters,34,,,,1679512214050.0,1679513933443.0,28.65655,Second,8,Emily,27,"The Eagles players expressed frustration with the poor field conditions at Arizona's stadium, but acknowledged that the Chiefs deserved to win.",0
Extremely,Moderately,Extremely,2c5843f9c456,control,drugOverdose,two,Not at All,Extremely,Moderately,Extremely,Extremely serious problem,High Priority,Strongly Oppose,Extremely serious problem,High Priority,Strongly Oppose,Woman,African American/Black,High School,33,,,,1679512552182.0,1679514865310.0,38.55213333333333,2nd place,7,june,9,so what i think of this article is the eagles has alot  of cofidence and reddick is against arizona,0
Extremely,Not at All,Extremely,2c5843f9c456,control,population,two,Not at All,Extremely,Moderately,Extremely,Extremely serious problem,High Priority,Strongly Oppose,Extremely serious problem,High Priority,Strongly Oppose,Woman,African American/Black,High School,33,,,,1679512552182.0,1679514865310.0,38.55213333333333,2nd place,7,june,9,so what i think of this article is the eagles has alot  of cofidence and reddick is against arizona,0
A lot,A lot,Extremely,2c5843f9c456,control,opioids,two,Not at All,Extremely,Moderately,Extremely,Extremely serious problem,High Priority,Strongly Oppose,Extremely serious problem,High Priority,Strongly Oppose,Woman,African American/Black,High School,33,,,,1679512552182.0,1679514865310.0,38.55213333333333,2nd place,7,june,9,so what i think of this article is the eagles has alot  of cofidence and reddick is against arizona,0
Moderately,A lot,Moderately,e8cd1158b93b,visual,drugOverdose,two,A little,Not at All,A lot,A lot,Extremely serious problem,High Priority,Somewhat Oppose,Extremely serious problem,High Priority,Somewhat Oppose,Man,Hispanic/Latino,High School,22,,,,1679512575189.0,1679513196068.0,10.347983333333334,Second,8,Emily,9,"The field conditions were horrible but neither team had a clear advantage, because they were both playing on it.",0
A little,A little,A little,e8cd1158b93b,visual,population,two,A little,Not at All,A lot,A lot,Extremely serious problem,High Priority,Somewhat Oppose,Extremely serious problem,High Priority,Somewhat Oppose,Man,Hispanic/Latino,High School,22,,,,1679512575189.0,1679513196068.0,10.347983333333334,Second,8,Emily,9,"The field conditions were horrible but neither team had a clear advantage, because they were both playing on it.",0
Moderately,A lot,A little,e8cd1158b93b,visual,opioids,two,A little,Not at All,A lot,A lot,Extremely serious problem,High Priority,Somewhat Oppose,Extremely serious problem,High Priority,Somewhat Oppose,Man,Hispanic/Latino,High School,22,,,,1679512575189.0,1679513196068.0,10.347983333333334,Second,8,Emily,9,"The field conditions were horrible but neither team had a clear advantage, because they were both playing on it.",0
Moderately,A lot,A lot,e2da28655b9c,control,drugOverdose,two,A little,A lot,Moderately,A lot,Serious problem,Moderate Priority,Strongly Favor,serious problem,High Priority,Strongly Favor,Man,other,High School,22,Multiracial,,,1679512628597.0,1679514230625.0,26.700466666666667,second,8,june,27,"During the Super Bowl, the conditions of the turf were poor and negatively affected both teams.",0
Moderately,Not at All,Moderately,e2da28655b9c,control,population,two,A little,A lot,Moderately,A lot,Serious problem,Moderate Priority,Strongly Favor,serious problem,High Priority,Strongly Favor,Man,other,High School,22,Multiracial,,,1679512628597.0,1679514230625.0,26.700466666666667,second,8,june,27,"During the Super Bowl, the conditions of the turf were poor and negatively affected both teams.",0
A lot,A lot,A lot,e2da28655b9c,control,opioids,two,A little,A lot,Moderately,A lot,Serious problem,Moderate Priority,Strongly Favor,serious problem,High Priority,Strongly Favor,Man,other,High School,22,Multiracial,,,1679512628597.0,1679514230625.0,26.700466666666667,second,8,june,27,"During the Super Bowl, the conditions of the turf were poor and negatively affected both teams.",0
A lot,A little,A lot,c87109c5740d,txt,drugOverdose,two,A little,Moderately,A lot,Extremely,Extremely serious problem,High Priority,Somewhat Oppose,Extremely serious problem,High Priority,Somewhat Oppose,Woman,White/Caucasian/European,Undergraduate,54,,,,1679512664970.0,1679513712403.0,17.457216666666667,second,8,Emily,3,Poor turf negatively impacted playing conditions at the 2023 Super Bowl.,0
A lot,Moderately,A lot,c87109c5740d,txt,population,two,A little,Moderately,A lot,Extremely,Extremely serious problem,High Priority,Somewhat Oppose,Extremely serious problem,High Priority,Somewhat Oppose,Woman,White/Caucasian/European,Undergraduate,54,,,,1679512664970.0,1679513712403.0,17.457216666666667,second,8,Emily,3,Poor turf negatively impacted playing conditions at the 2023 Super Bowl.,0
A lot,Not at All,A lot,c87109c5740d,txt,opioids,two,A little,Moderately,A lot,Extremely,Extremely serious problem,High Priority,Somewhat Oppose,Extremely serious problem,High Priority,Somewhat Oppose,Woman,White/Caucasian/European,Undergraduate,54,,,,1679512664970.0,1679513712403.0,17.457216666666667,second,8,Emily,3,Poor turf negatively impacted playing conditions at the 2023 Super Bowl.,0
A lot,A lot,Moderately,a5ad61315b1e,visual,drugOverdose,two,A lot,Extremely,Extremely,Extremely,Extremely serious problem,High Priority,Somewhat Favor,Extremely serious problem,Moderate Priority,Somewhat Favor,Woman,White/Caucasian/European,Masters,30,,,,1679512741393.0,1679513898779.0,19.289766666666665,Second,8,Emily,27,"The Eagles acknowledge that field conditions affected both teams in their loss to the Chiefs, with one player expressing frustration over Arizona's turf standards.",0
A lot,Extremely,A lot,a5ad61315b1e,visual,population,two,A lot,Extremely,Extremely,Extremely,Extremely serious problem,High Priority,Somewhat Favor,Extremely serious problem,Moderate Priority,Somewhat Favor,Woman,White/Caucasian/European,Masters,30,,,,1679512741393.0,1679513898779.0,19.289766666666665,Second,8,Emily,27,"The Eagles acknowledge that field conditions affected both teams in their loss to the Chiefs, with one player expressing frustration over Arizona's turf standards.",0
Moderately,A lot,Extremely,a5ad61315b1e,visual,opioids,two,A lot,Extremely,Extremely,Extremely,Extremely serious problem,High Priority,Somewhat Favor,Extremely serious problem,Moderate Priority,Somewhat Favor,Woman,White/Caucasian/European,Masters,30,,,,1679512741393.0,1679513898779.0,19.289766666666665,Second,8,Emily,27,"The Eagles acknowledge that field conditions affected both teams in their loss to the Chiefs, with one player expressing frustration over Arizona's turf standards.",0
A little,Not at All,Moderately,92ba25f8bdf2,txt,drugOverdose,two,A lot,Moderately,A lot,A lot,Extremely serious problem,High Priority,Neutral,Extremely serious problem,High Priority,Neutral,Man,White/Caucasian/European,High School,31,,,,1679513077765.0,1679516525692.0,57.46545,2nd,8,Emily,0,"Eagles players expressed frustration over low quality turf used during the 2023 Super Bowl, but don't blame the turf for their loss.",1
A little,A little,Moderately,92ba25f8bdf2,txt,population,two,A lot,Moderately,A lot,A lot,Extremely serious problem,High Priority,Neutral,Extremely serious problem,High Priority,Neutral,Man,White/Caucasian/European,High School,31,,,,1679513077765.0,1679516525692.0,57.46545,2nd,8,Emily,0,"Eagles players expressed frustration over low quality turf used during the 2023 Super Bowl, but don't blame the turf for their loss.",1
Moderately,A little,Moderately,92ba25f8bdf2,txt,opioids,two,A lot,Moderately,A lot,A lot,Extremely serious problem,High Priority,Neutral,Extremely serious problem,High Priority,Neutral,Man,White/Caucasian/European,High School,31,,,,1679513077765.0,1679516525692.0,57.46545,2nd,8,Emily,0,"Eagles players expressed frustration over low quality turf used during the 2023 Super Bowl, but don't blame the turf for their loss.",1
A lot,Moderately,Extremely,edb9b55f810a,visual,drugOverdose,two,Moderately,Moderately,Moderately,Moderately,Serious problem,High Priority,Neutral,Extremely serious problem,High Priority,Neutral,Woman,"East Asian e.g. Chinese, Japanese, South-East Asian",Undergraduate,29,,,,1679513354381.0,1679513984150.0,10.49615,second,8,Emily,0,"The Eagles complained about the poor conditions of the field, which affected their game, but ultimately was not the reason they lost. ",0
A lot,A lot,Extremely,edb9b55f810a,visual,population,two,Moderately,Moderately,Moderately,Moderately,Serious problem,High Priority,Neutral,Extremely serious problem,High Priority,Neutral,Woman,"East Asian e.g. Chinese, Japanese, South-East Asian",Undergraduate,29,,,,1679513354381.0,1679513984150.0,10.49615,second,8,Emily,0,"The Eagles complained about the poor conditions of the field, which affected their game, but ultimately was not the reason they lost. ",0
Extremely,Extremely,Extremely,edb9b55f810a,visual,opioids,two,Moderately,Moderately,Moderately,Moderately,Serious problem,High Priority,Neutral,Extremely serious problem,High Priority,Neutral,Woman,"East Asian e.g. Chinese, Japanese, South-East Asian",Undergraduate,29,,,,1679513354381.0,1679513984150.0,10.49615,second,8,Emily,0,"The Eagles complained about the poor conditions of the field, which affected their game, but ultimately was not the reason they lost. ",0
Moderately,A little,A little,769b86ed4f2a,control,drugOverdose,two,Not at All,Not at All,Not at All,Not at All,Serious problem,Neutral,Somewhat Oppose,Extremely serious problem,Neutral,Strongly Oppose,Woman,Hispanic/Latino,Undergraduate,23,,,,1679513453864.0,1679514112956.0,10.984866666666669,second,8,Emily,27,"The Eagle's coach claimed that the Super Bowl seemed harder because of the field conditions this year; however, still agrees the chiefs deserved their win despite the hinderances. ",0
Not at All,A little,Not at All,769b86ed4f2a,control,population,two,Not at All,Not at All,Not at All,Not at All,Serious problem,Neutral,Somewhat Oppose,Extremely serious problem,Neutral,Strongly Oppose,Woman,Hispanic/Latino,Undergraduate,23,,,,1679513453864.0,1679514112956.0,10.984866666666669,second,8,Emily,27,"The Eagle's coach claimed that the Super Bowl seemed harder because of the field conditions this year; however, still agrees the chiefs deserved their win despite the hinderances. ",0
Moderately,Not at All,A little,769b86ed4f2a,control,opioids,two,Not at All,Not at All,Not at All,Not at All,Serious problem,Neutral,Somewhat Oppose,Extremely serious problem,Neutral,Strongly Oppose,Woman,Hispanic/Latino,Undergraduate,23,,,,1679513453864.0,1679514112956.0,10.984866666666669,second,8,Emily,27,"The Eagle's coach claimed that the Super Bowl seemed harder because of the field conditions this year; however, still agrees the chiefs deserved their win despite the hinderances. ",0
Extremely,Extremely,Extremely,c111cbeb7080,txt,drugOverdose,two,A little,A little,Moderately,Moderately,Moderate problem,Low Priority,Somewhat Favor,serious problem,Neutral,Somewhat Favor,Man,Hispanic/Latino,Undergraduate,37,,,,1679513486140.0,1679514357088.0,14.5158,first,8,Emily,0,The Philladelpia Eagles were unhappy in their game with the Chiefs. Their main concern was the grass they were playing on.,0
Extremely,Extremely,Extremely,c111cbeb7080,txt,population,two,A little,A little,Moderately,Moderately,Moderate problem,Low Priority,Somewhat Favor,serious problem,Neutral,Somewhat Favor,Man,Hispanic/Latino,Undergraduate,37,,,,1679513486140.0,1679514357088.0,14.5158,first,8,Emily,0,The Philladelpia Eagles were unhappy in their game with the Chiefs. Their main concern was the grass they were playing on.,0
Extremely,Extremely,Extremely,c111cbeb7080,txt,opioids,two,A little,A little,Moderately,Moderately,Moderate problem,Low Priority,Somewhat Favor,serious problem,Neutral,Somewhat Favor,Man,Hispanic/Latino,Undergraduate,37,,,,1679513486140.0,1679514357088.0,14.5158,first,8,Emily,0,The Philladelpia Eagles were unhappy in their game with the Chiefs. Their main concern was the grass they were playing on.,0
Extremely,A lot,A lot,4c91069c5c5e,visual,drugOverdose,two,A lot,Moderately,Moderately,Moderately,Extremely serious problem,High Priority,Strongly Oppose,Extremely serious problem,High Priority,Strongly Oppose,Man,White/Caucasian/European,Undergraduate,25,,,,1679513504465.0,1679514117985.0,10.225333333333332,2nd,8,Emily,27,The turf used in the super bowl had an effect on the performance on the players,0
A lot,A lot,A lot,4c91069c5c5e,visual,population,two,A lot,Moderately,Moderately,Moderately,Extremely serious problem,High Priority,Strongly Oppose,Extremely serious problem,High Priority,Strongly Oppose,Man,White/Caucasian/European,Undergraduate,25,,,,1679513504465.0,1679514117985.0,10.225333333333332,2nd,8,Emily,27,The turf used in the super bowl had an effect on the performance on the players,0
A lot,A lot,A lot,4c91069c5c5e,visual,opioids,two,A lot,Moderately,Moderately,Moderately,Extremely serious problem,High Priority,Strongly Oppose,Extremely serious problem,High Priority,Strongly Oppose,Man,White/Caucasian/European,Undergraduate,25,,,,1679513504465.0,1679514117985.0,10.225333333333332,2nd,8,Emily,27,The turf used in the super bowl had an effect on the performance on the players,0
A lot,A lot,Extremely,9ed5361735f2,control,drugOverdose,two,Moderately,A lot,A lot,A lot,Moderate problem,Moderate Priority,Somewhat Favor,serious problem,High Priority,Somewhat Favor,Man,Hispanic/Latino,High School,20,,,,1679513651652.0,1679516687195.0,50.59238333333333,second,8,emily,9,The terf that the eagles and chiefs played on was very low quality. ,1
A lot,A lot,Extremely,9ed5361735f2,control,population,two,Moderately,A lot,A lot,A lot,Moderate problem,Moderate Priority,Somewhat Favor,serious problem,High Priority,Somewhat Favor,Man,Hispanic/Latino,High School,20,,,,1679513651652.0,1679516687195.0,50.59238333333333,second,8,emily,9,The terf that the eagles and chiefs played on was very low quality. ,1
Moderately,Moderately,Extremely,9ed5361735f2,control,opioids,two,Moderately,A lot,A lot,A lot,Moderate problem,Moderate Priority,Somewhat Favor,serious problem,High Priority,Somewhat Favor,Man,Hispanic/Latino,High School,20,,,,1679513651652.0,1679516687195.0,50.59238333333333,second,8,emily,9,The terf that the eagles and chiefs played on was very low quality. ,1
Not at All,A little,A little,d2079648fcb3,control,drugOverdose,two,A little,A little,A little,A little,Serious problem,Low Priority,Somewhat Favor,serious problem,Low Priority,Somewhat Favor,Woman,White/Caucasian/European,other,63,,2 years of college,,1679513786964.0,1679515583687.0,29.94538333333333,second,8,Emily,0,"The poor condition of the field for the 2023 Super Bowl game affected the game, but players didn't want to make it an excuse for below-normal performance.",0
Not at All,A little,A little,d2079648fcb3,control,population,two,A little,A little,A little,A little,Serious problem,Low Priority,Somewhat Favor,serious problem,Low Priority,Somewhat Favor,Woman,White/Caucasian/European,other,63,,2 years of college,,1679513786964.0,1679515583687.0,29.94538333333333,second,8,Emily,0,"The poor condition of the field for the 2023 Super Bowl game affected the game, but players didn't want to make it an excuse for below-normal performance.",0
Not at All,A lot,A little,d2079648fcb3,control,opioids,two,A little,A little,A little,A little,Serious problem,Low Priority,Somewhat Favor,serious problem,Low Priority,Somewhat Favor,Woman,White/Caucasian/European,other,63,,2 years of college,,1679513786964.0,1679515583687.0,29.94538333333333,second,8,Emily,0,"The poor condition of the field for the 2023 Super Bowl game affected the game, but players didn't want to make it an excuse for below-normal performance.",0
A little,A little,A lot,e5d56dcad5b8,control,drugOverdose,two,A little,A little,Moderately,Moderately,Moderate problem,Moderate Priority,Somewhat Favor,serious problem,Moderate Priority,Strongly Favor,Woman,White/Caucasian/European,High School,22,,,,1679513869517.0,1679514262539.0,6.550366666666666,Second,8,Emily,0,The turf influenced the 2023 Super Bowl ,0
A little,Moderately,Moderately,e5d56dcad5b8,control,population,two,A little,A little,Moderately,Moderately,Moderate problem,Moderate Priority,Somewhat Favor,serious problem,Moderate Priority,Strongly Favor,Woman,White/Caucasian/European,High School,22,,,,1679513869517.0,1679514262539.0,6.550366666666666,Second,8,Emily,0,The turf influenced the 2023 Super Bowl ,0
A little,A little,Moderately,e5d56dcad5b8,control,opioids,two,A little,A little,Moderately,Moderately,Moderate problem,Moderate Priority,Somewhat Favor,serious problem,Moderate Priority,Strongly Favor,Woman,White/Caucasian/European,High School,22,,,,1679513869517.0,1679514262539.0,6.550366666666666,Second,8,Emily,0,The turf influenced the 2023 Super Bowl ,0
A lot,Not at All,Extremely,4c78ee30cc2f,txt,drugOverdose,two,A lot,A lot,Extremely,Extremely,Moderate problem,Moderate Priority,Strongly Favor,serious problem,Moderate Priority,Strongly Oppose,Man,Native American,Doctorate,19,,,,1679513945097.0,1679514860321.0,15.253733333333331,Second,8,Emily,9,Bad field conditions affected the game.,0
A lot,Not at All,Extremely,4c78ee30cc2f,txt,population,two,A lot,A lot,Extremely,Extremely,Moderate problem,Moderate Priority,Strongly Favor,serious problem,Moderate Priority,Strongly Oppose,Man,Native American,Doctorate,19,,,,1679513945097.0,1679514860321.0,15.253733333333331,Second,8,Emily,9,Bad field conditions affected the game.,0
A lot,Not at All,Extremely,4c78ee30cc2f,txt,opioids,two,A lot,A lot,Extremely,Extremely,Moderate problem,Moderate Priority,Strongly Favor,serious problem,Moderate Priority,Strongly Oppose,Man,Native American,Doctorate,19,,,,1679513945097.0,1679514860321.0,15.253733333333331,Second,8,Emily,9,Bad field conditions affected the game.,0
A little,A little,A little,b654ef03cb5c,control,drugOverdose,two,Moderately,Moderately,Moderately,Moderately,Moderate problem,Moderate Priority,Strongly Favor,serious problem,Moderate Priority,Strongly Favor,Woman,"East Asian e.g. Chinese, Japanese, South-East Asian",Undergraduate,28,,,,1679513990108.0,1679514687233.0,11.61875,second,8,Emily,0,"Poor turf condition at the super bowl caused issues for the Eagles, but it wasn't the deciding factor in game.",0
A little,A little,A little,b654ef03cb5c,control,population,two,Moderately,Moderately,Moderately,Moderately,Moderate problem,Moderate Priority,Strongly Favor,serious problem,Moderate Priority,Strongly Favor,Woman,"East Asian e.g. Chinese, Japanese, South-East Asian",Undergraduate,28,,,,1679513990108.0,1679514687233.0,11.61875,second,8,Emily,0,"Poor turf condition at the super bowl caused issues for the Eagles, but it wasn't the deciding factor in game.",0
A little,A little,A little,b654ef03cb5c,control,opioids,two,Moderately,Moderately,Moderately,Moderately,Moderate problem,Moderate Priority,Strongly Favor,serious problem,Moderate Priority,Strongly Favor,Woman,"East Asian e.g. Chinese, Japanese, South-East Asian",Undergraduate,28,,,,1679513990108.0,1679514687233.0,11.61875,second,8,Emily,0,"Poor turf condition at the super bowl caused issues for the Eagles, but it wasn't the deciding factor in game.",0
Moderately,A lot,A lot,038c12c0f94e,visual,population,two,A little,Moderately,Moderately,Extremely,Extremely serious problem,High Priority,Strongly Favor,Extremely serious problem,High Priority,Strongly Favor,Man,White/Caucasian/European,Undergraduate,35,,,,1679513990536.0,1679515060114.0,17.8263,2nd,8,Emily,3,"The eagles lost the game and bad turn was NOT to blame, but it made it harder for everyone to play.",0
A lot,Extremely,Extremely,038c12c0f94e,visual,opioids,two,A little,Moderately,Moderately,Extremely,Extremely serious problem,High Priority,Strongly Favor,Extremely serious problem,High Priority,Strongly Favor,Man,White/Caucasian/European,Undergraduate,35,,,,1679513990536.0,1679515060114.0,17.8263,2nd,8,Emily,3,"The eagles lost the game and bad turn was NOT to blame, but it made it harder for everyone to play.",0
Moderately,A lot,Moderately,2ae354372045,visual,drugOverdose,two,A little,Moderately,Moderately,Moderately,Moderate problem,Moderate Priority,Somewhat Favor,serious problem,Moderate Priority,Somewhat Oppose,Man,"East Asian e.g. Chinese, Japanese, South-East Asian",Undergraduate,24,,,,1679514063867.0,1679514887895.0,13.7338,first,8,june,27,"The field for the football game was not in good conditions, but it shouldn't be a factor to blame for the game.",0
Moderately,Moderately,Moderately,2ae354372045,visual,population,two,A little,Moderately,Moderately,Moderately,Moderate problem,Moderate Priority,Somewhat Favor,serious problem,Moderate Priority,Somewhat Oppose,Man,"East Asian e.g. Chinese, Japanese, South-East Asian",Undergraduate,24,,,,1679514063867.0,1679514887895.0,13.7338,first,8,june,27,"The field for the football game was not in good conditions, but it shouldn't be a factor to blame for the game.",0
Moderately,Moderately,Moderately,2ae354372045,visual,opioids,two,A little,Moderately,Moderately,Moderately,Moderate problem,Moderate Priority,Somewhat Favor,serious problem,Moderate Priority,Somewhat Oppose,Man,"East Asian e.g. Chinese, Japanese, South-East Asian",Undergraduate,24,,,,1679514063867.0,1679514887895.0,13.7338,first,8,june,27,"The field for the football game was not in good conditions, but it shouldn't be a factor to blame for the game.",0
Moderately,Not at All,A lot,28c060f65f4f,txt,drugOverdose,two,Not at All,A little,A lot,A lot,Moderate problem,Moderate Priority,Somewhat Favor,Moderate problem,Moderate Priority,Somewhat Favor,Man,White/Caucasian/European,other,36,,"Some college, no degree",,1679514072457.0,1679514894086.0,13.693816666666669,Second,8,Emily,27 cubic feet,"The field conditions at the Super Bowl were not great, multiple Eagles players felt they had issues with it, however they don't think that is why they lost",0
A little,A little,Moderately,28c060f65f4f,txt,population,two,Not at All,A little,A lot,A lot,Moderate problem,Moderate Priority,Somewhat Favor,Moderate problem,Moderate Priority,Somewhat Favor,Man,White/Caucasian/European,other,36,,"Some college, no degree",,1679514072457.0,1679514894086.0,13.693816666666669,Second,8,Emily,27 cubic feet,"The field conditions at the Super Bowl were not great, multiple Eagles players felt they had issues with it, however they don't think that is why they lost",0
A lot,A little,A lot,28c060f65f4f,txt,opioids,two,Not at All,A little,A lot,A lot,Moderate problem,Moderate Priority,Somewhat Favor,Moderate problem,Moderate Priority,Somewhat Favor,Man,White/Caucasian/European,other,36,,"Some college, no degree",,1679514072457.0,1679514894086.0,13.693816666666669,Second,8,Emily,27 cubic feet,"The field conditions at the Super Bowl were not great, multiple Eagles players felt they had issues with it, however they don't think that is why they lost",0
Not at All,Not at All,A little,cb35028dc8c8,txt,drugOverdose,two,Not at All,Not at All,Not at All,Not at All,Extremely serious problem,High Priority,Neutral,Extremely serious problem,High Priority,Neutral,Woman,Hispanic/Latino,High School,33,,,,1679514104001.0,1679515685484.0,26.35805,second,8,Emily,3,Field conditions may or may not have been a factor in who won the game but one team has a theory of its own.,0
Not at All,Not at All,Not at All,cb35028dc8c8,txt,population,two,Not at All,Not at All,Not at All,Not at All,Extremely serious problem,High Priority,Neutral,Extremely serious problem,High Priority,Neutral,Woman,Hispanic/Latino,High School,33,,,,1679514104001.0,1679515685484.0,26.35805,second,8,Emily,3,Field conditions may or may not have been a factor in who won the game but one team has a theory of its own.,0
Not at All,Not at All,Not at All,cb35028dc8c8,txt,opioids,two,Not at All,Not at All,Not at All,Not at All,Extremely serious problem,High Priority,Neutral,Extremely serious problem,High Priority,Neutral,Woman,Hispanic/Latino,High School,33,,,,1679514104001.0,1679515685484.0,26.35805,second,8,Emily,3,Field conditions may or may not have been a factor in who won the game but one team has a theory of its own.,0
