elicitation_value,PID,article,study,treatment,elicitation_id,year,elicitation_defined,true_value,elicitation_accuracy_abs,elicitation_accuracy_signed,exclude
48162.28070175438,e8cd1158b93b,gun,,visual,1.0,2006.0,True,45316.0,2846.280701754382,2846.280701754382,0
51811.40350877193,e8cd1158b93b,gun,,visual,1.0,2007.0,True,43945.0,7866.403508771931,7866.403508771931,0
51811.40350877193,e8cd1158b93b,gun,,visual,1.0,2008.0,True,39790.0,12021.403508771931,12021.403508771931,0
52934.210526315794,e8cd1158b93b,gun,,visual,1.0,2009.0,True,36216.0,16718.210526315794,16718.210526315794,0
57144.73684210527,e8cd1158b93b,gun,,visual,1.0,2010.0,True,35332.0,21812.736842105267,21812.736842105267,0
60793.85964912281,e8cd1158b93b,gun,,visual,1.0,2011.0,True,35303.0,25490.85964912281,25490.85964912281,0
62478.0701754386,e8cd1158b93b,gun,,visual,1.0,2012.0,True,36415.0,26063.070175438595,26063.070175438595,0
58828.94736842106,e8cd1158b93b,gun,,visual,1.0,2013.0,True,35369.0,23459.94736842106,23459.94736842106,0
57706.1403508772,e8cd1158b93b,gun,,visual,1.0,2014.0,True,35398.0,22308.1403508772,22308.1403508772,0
59109.649122807015,e8cd1158b93b,gun,,visual,1.0,2015.0,True,37757.0,21352.64912280701,21352.64912280701,0
63600.87719298246,e8cd1158b93b,gun,,visual,1.0,2016.0,True,40327.0,23273.877192982454,23273.877192982454,0
69776.3157894737,e8cd1158b93b,gun,,visual,1.0,2017.0,True,40231.0,29545.31578947369,29545.31578947369,0
72864.0350877193,e8cd1158b93b,gun,,visual,1.0,2018.0,True,39404.0,33460.0350877193,33460.0350877193,0
72302.63157894737,e8cd1158b93b,gun,,visual,1.0,2019.0,True,39107.0,33195.631578947374,33195.631578947374,0
14513.15789473684,e8cd1158b93b,hiv,,visual,1.0,2003.0,True,15100.0,586.8421052631602,-586.8421052631602,0
15635.964912280702,e8cd1158b93b,hiv,,visual,1.0,2004.0,True,14416.0,1219.9649122807025,1219.9649122807025,0
16478.0701754386,e8cd1158b93b,hiv,,visual,1.0,2005.0,True,13839.0,2639.070175438599,2639.070175438599,0
15635.964912280702,e8cd1158b93b,hiv,,visual,1.0,2006.0,True,13265.0,2370.9649122807023,2370.9649122807023,0
14232.456140350872,e8cd1158b93b,hiv,,visual,1.0,2007.0,True,12444.0,1788.4561403508724,1788.4561403508724,0
14232.456140350872,e8cd1158b93b,hiv,,visual,1.0,2008.0,True,11400.0,2832.4561403508724,2832.4561403508724,0
14513.15789473684,e8cd1158b93b,hiv,,visual,1.0,2009.0,True,10551.0,3962.15789473684,3962.15789473684,0
15916.666666666668,e8cd1158b93b,hiv,,visual,1.0,2010.0,True,9143.0,6773.666666666668,6773.666666666668,0
15355.263157894737,e8cd1158b93b,hiv,,visual,1.0,2011.0,True,8428.0,6927.263157894737,6927.263157894737,0
15074.561403508773,e8cd1158b93b,hiv,,visual,1.0,2012.0,True,7973.0,7101.561403508771,7101.561403508771,0
16478.0701754386,e8cd1158b93b,hiv,,visual,1.0,2013.0,True,7682.0,8796.0701754386,8796.0701754386,0
17881.57894736842,e8cd1158b93b,hiv,,visual,1.0,2014.0,True,7413.0,10468.57894736842,10468.57894736842,0
15355.263157894737,e8cd1158b93b,hiv,,visual,1.0,2015.0,True,7089.0,8266.263157894737,8266.263157894737,0
9741.22807017544,e8cd1158b93b,hiv,,visual,1.0,2016.0,True,7430.0,2311.228070175439,2311.228070175439,0
9179.824561403508,e8cd1158b93b,hiv,,visual,1.0,2017.0,True,7338.0,1841.824561403508,1841.824561403508,0
7776.315789473687,e8cd1158b93b,hiv,,visual,1.0,2018.0,True,7200.0,576.3157894736869,576.3157894736869,0
9460.526315789471,e8cd1158b93b,hiv,,visual,1.0,2019.0,True,7053.0,2407.5263157894733,2407.5263157894733,0
26899.12280701755,e8cd1158b93b,drugOverdose,,visual,1.0,2003.0,True,25785.0,1114.1228070175491,1114.1228070175491,0
27179.824561403504,e8cd1158b93b,drugOverdose,,visual,1.0,2004.0,True,27424.0,244.17543859649595,-244.17543859649595,0
31390.350877192985,e8cd1158b93b,drugOverdose,,visual,1.0,2005.0,True,29813.0,1577.3508771929846,1577.3508771929846,0
36723.68421052631,e8cd1158b93b,drugOverdose,,visual,1.0,2006.0,True,34425.0,2298.684210526313,2298.684210526313,0
42618.42105263158,e8cd1158b93b,drugOverdose,,visual,1.0,2007.0,True,36010.0,6608.42105263158,6608.42105263158,0
44583.333333333336,e8cd1158b93b,drugOverdose,,visual,1.0,2008.0,True,36450.0,8133.333333333336,8133.333333333336,0
42337.71929824561,e8cd1158b93b,drugOverdose,,visual,1.0,2009.0,True,37004.0,5333.719298245611,5333.719298245611,0
38688.59649122807,e8cd1158b93b,drugOverdose,,visual,1.0,2010.0,True,38329.0,359.5964912280688,359.5964912280688,0
38688.59649122807,e8cd1158b93b,drugOverdose,,visual,1.0,2011.0,True,41340.0,2651.4035087719312,-2651.4035087719312,0
36162.28070175438,e8cd1158b93b,drugOverdose,,visual,1.0,2012.0,True,41502.0,5339.719298245618,-5339.719298245618,0
37004.38596491228,e8cd1158b93b,drugOverdose,,visual,1.0,2013.0,True,43982.0,6977.614035087718,-6977.614035087718,0
36162.28070175438,e8cd1158b93b,drugOverdose,,visual,1.0,2014.0,True,47055.0,10892.719298245618,-10892.719298245618,0
33074.56140350877,e8cd1158b93b,drugOverdose,,visual,1.0,2015.0,True,52404.0,19329.43859649123,-19329.43859649123,0
29986.842105263157,e8cd1158b93b,drugOverdose,,visual,1.0,2016.0,True,63632.0,33645.15789473685,-33645.15789473685,0
31671.05263157895,e8cd1158b93b,drugOverdose,,visual,1.0,2017.0,True,70237.0,38565.94736842105,-38565.94736842105,0
34758.771929824565,e8cd1158b93b,drugOverdose,,visual,1.0,2018.0,True,67367.0,32608.228070175435,-32608.228070175435,0
36442.98245614035,e8cd1158b93b,drugOverdose,,visual,1.0,2019.0,True,70630.0,34187.01754385965,-34187.01754385965,0
1.3185307017543857,e8cd1158b93b,southAfrica,,visual,1.0,2003.0,True,1.54,0.2214692982456143,-0.2214692982456143,0
1.2132675438596496,e8cd1158b93b,southAfrica,,visual,1.0,2004.0,True,1.53,0.3167324561403504,-0.3167324561403504,0
1.2483552631578942,e8cd1158b93b,southAfrica,,visual,1.0,2005.0,True,1.5,0.2516447368421057,-0.2516447368421057,0
1.178179824561404,e8cd1158b93b,southAfrica,,visual,1.0,2006.0,True,1.47,0.291820175438596,-0.291820175438596,0
1.178179824561404,e8cd1158b93b,southAfrica,,visual,1.0,2007.0,True,1.42,0.241820175438596,-0.241820175438596,0
1.1430921052631582,e8cd1158b93b,southAfrica,,visual,1.0,2008.0,True,1.37,0.2269078947368419,-0.2269078947368419,0
1.178179824561404,e8cd1158b93b,southAfrica,,visual,1.0,2009.0,True,1.32,0.1418201754385961,-0.1418201754385961,0
1.3536184210526314,e8cd1158b93b,southAfrica,,visual,1.0,2010.0,True,1.32,0.0336184210526313,0.0336184210526313,0
1.52905701754386,e8cd1158b93b,southAfrica,,visual,1.0,2011.0,True,1.27,0.25905701754386,0.25905701754386,0
1.4939692982456143,e8cd1158b93b,southAfrica,,visual,1.0,2012.0,True,1.22,0.2739692982456143,0.2739692982456143,0
1.4939692982456143,e8cd1158b93b,southAfrica,,visual,1.0,2013.0,True,1.15,0.3439692982456144,0.3439692982456144,0
1.634320175438596,e8cd1158b93b,southAfrica,,visual,1.0,2014.0,True,1.09,0.544320175438596,0.544320175438596,0
1.4939692982456143,e8cd1158b93b,southAfrica,,visual,1.0,2015.0,True,1.04,0.4539692982456143,0.4539692982456143,0
1.4588815789473686,e8cd1158b93b,southAfrica,,visual,1.0,2016.0,True,1.0,0.4588815789473686,0.4588815789473686,0
1.52905701754386,e8cd1158b93b,southAfrica,,visual,1.0,2017.0,True,1.0,0.52905701754386,0.52905701754386,0
1.8448464912280704,e8cd1158b93b,southAfrica,,visual,1.0,2018.0,True,1.0,0.8448464912280704,0.8448464912280704,0
2.125548245614035,e8cd1158b93b,southAfrica,,visual,1.0,2019.0,True,0.98,1.1455482456140351,1.1455482456140351,0
1.358004385964913,e8cd1158b93b,italy,,visual,1.0,2003.0,True,1.34,0.0180043859649126,0.0180043859649126,0
1.182565789473684,e8cd1158b93b,italy,,visual,1.0,2004.0,True,1.36,0.177434210526316,-0.177434210526316,0
1.1474780701754383,e8cd1158b93b,italy,,visual,1.0,2005.0,True,1.36,0.2125219298245617,-0.2125219298245617,0
1.182565789473684,e8cd1158b93b,italy,,visual,1.0,2006.0,True,1.36,0.177434210526316,-0.177434210526316,0
1.182565789473684,e8cd1158b93b,italy,,visual,1.0,2007.0,True,1.35,0.167434210526316,-0.167434210526316,0
1.182565789473684,e8cd1158b93b,italy,,visual,1.0,2008.0,True,1.34,0.157434210526316,-0.157434210526316,0
1.182565789473684,e8cd1158b93b,italy,,visual,1.0,2009.0,True,1.33,0.147434210526316,-0.147434210526316,0
1.2176535087719298,e8cd1158b93b,italy,,visual,1.0,2010.0,True,1.32,0.1023464912280702,-0.1023464912280702,0
1.3930921052631584,e8cd1158b93b,italy,,visual,1.0,2011.0,True,1.29,0.1030921052631583,0.1030921052631583,0
1.358004385964913,e8cd1158b93b,italy,,visual,1.0,2012.0,True,1.24,0.1180043859649127,0.1180043859649127,0
1.322916666666667,e8cd1158b93b,italy,,visual,1.0,2013.0,True,1.18,0.142916666666667,0.142916666666667,0
0.9018640350877194,e8cd1158b93b,italy,,visual,1.0,2014.0,True,1.13,0.2281359649122805,-0.2281359649122805,0
1.0422149122807025,e8cd1158b93b,italy,,visual,1.0,2015.0,True,1.1,0.0577850877192978,-0.0577850877192978,0
1.322916666666667,e8cd1158b93b,italy,,visual,1.0,2016.0,True,1.08,0.2429166666666669,0.2429166666666669,0
0.9369517543859652,e8cd1158b93b,italy,,visual,1.0,2017.0,True,1.07,0.1330482456140349,-0.1330482456140349,0
0.831688596491228,e8cd1158b93b,italy,,visual,1.0,2018.0,True,1.05,0.2183114035087721,-0.2183114035087721,0
0.9018640350877194,e8cd1158b93b,italy,,visual,1.0,2019.0,True,1.01,0.1081359649122806,-0.1081359649122806,0
2.555372807017544,e8cd1158b93b,population,,visual,1.0,2003.0,True,2.75,0.1946271929824559,-0.1946271929824559,0
2.6957236842105257,e8cd1158b93b,population,,visual,1.0,2004.0,True,2.81,0.1142763157894743,-0.1142763157894743,0
2.800986842105263,e8cd1158b93b,population,,visual,1.0,2005.0,True,2.87,0.0690131578947372,-0.0690131578947372,0
2.90625,e8cd1158b93b,population,,visual,1.0,2006.0,True,2.91,0.0037500000000001,-0.0037500000000001,0
3.011513157894737,e8cd1158b93b,population,,visual,1.0,2007.0,True,2.94,0.0715131578947372,0.0715131578947372,0
3.151864035087719,e8cd1158b93b,population,,visual,1.0,2008.0,True,2.98,0.1718640350877192,0.1718640350877192,0
3.3974780701754383,e8cd1158b93b,population,,visual,1.0,2009.0,True,3.01,0.3874780701754385,0.3874780701754385,0
3.853618421052632,e8cd1158b93b,population,,visual,1.0,2010.0,True,3.05,0.8036184210526316,0.8036184210526316,0
4.02905701754386,e8cd1158b93b,population,,visual,1.0,2011.0,True,3.11,0.9190570175438596,0.9190570175438596,0
4.064144736842106,e8cd1158b93b,population,,visual,1.0,2012.0,True,3.19,0.8741447368421063,0.8741447368421063,0
4.520285087719298,e8cd1158b93b,population,,visual,1.0,2013.0,True,3.28,1.240285087719298,1.240285087719298,0
4.555372807017544,e8cd1158b93b,population,,visual,1.0,2014.0,True,3.37,1.1853728070175436,1.1853728070175436,0
4.239583333333333,e8cd1158b93b,population,,visual,1.0,2015.0,True,3.46,0.7795833333333331,0.7795833333333331,0
4.520285087719298,e8cd1158b93b,population,,visual,1.0,2016.0,True,3.56,0.960285087719298,0.960285087719298,0
4.90625,e8cd1158b93b,population,,visual,1.0,2017.0,True,3.64,1.26625,1.26625,0
4.9764254385964914,e8cd1158b93b,population,,visual,1.0,2018.0,True,3.67,1.3064254385964915,1.3064254385964915,0
4.941337719298246,e8cd1158b93b,population,,visual,1.0,2019.0,True,3.7,1.2413377192982455,1.2413377192982455,0
0.0,e8cd1158b93b,cocaine,,visual,1.0,2003.0,True,2747.0,2747.0,-2747.0,0
1285.0877192982414,e8cd1158b93b,cocaine,,visual,1.0,2004.0,True,3005.0,1719.9122807017586,-1719.9122807017586,0
4092.105263157899,e8cd1158b93b,cocaine,,visual,1.0,2005.0,True,3269.0,823.1052631578991,823.1052631578991,0
8021.929824561403,e8cd1158b93b,cocaine,,visual,1.0,2006.0,True,3445.0,4576.929824561403,4576.929824561403,0
10548.245614035086,e8cd1158b93b,cocaine,,visual,1.0,2007.0,True,3477.0,7071.245614035086,7071.245614035086,0
12232.45614035088,e8cd1158b93b,cocaine,,visual,1.0,2008.0,True,3512.0,8720.45614035088,8720.45614035088,0
15039.473684210529,e8cd1158b93b,cocaine,,visual,1.0,2009.0,True,3545.0,11494.473684210529,11494.473684210529,0
14758.771929824565,e8cd1158b93b,cocaine,,visual,1.0,2010.0,True,3592.0,11166.771929824565,11166.771929824565,0
12793.859649122804,e8cd1158b93b,cocaine,,visual,1.0,2011.0,True,3814.0,8979.859649122804,8979.859649122804,0
11671.052631578948,e8cd1158b93b,cocaine,,visual,1.0,2012.0,True,4043.0,7628.052631578948,7628.052631578948,0
13355.263157894737,e8cd1158b93b,cocaine,,visual,1.0,2013.0,True,4385.0,8970.263157894735,8970.263157894735,0
11109.649122807015,e8cd1158b93b,cocaine,,visual,1.0,2014.0,True,4864.0,6245.649122807017,6245.649122807017,0
11951.754385964914,e8cd1158b93b,cocaine,,visual,1.0,2015.0,True,5517.0,6434.754385964914,6434.754385964914,0
15600.877192982452,e8cd1158b93b,cocaine,,visual,1.0,2016.0,True,6364.0,9236.877192982452,9236.877192982452,0
17285.087719298248,e8cd1158b93b,cocaine,,visual,1.0,2017.0,True,7188.0,10097.087719298248,10097.087719298248,0
17285.087719298248,e8cd1158b93b,cocaine,,visual,1.0,2018.0,True,7765.0,9520.087719298248,9520.087719298248,0
19811.40350877193,e8cd1158b93b,cocaine,,visual,1.0,2019.0,True,8323.0,11488.403508771931,11488.403508771931,0
1600.8771929824572,e8cd1158b93b,heroin,,visual,1.0,2003.0,True,2080.0,479.1228070175428,-479.1228070175428,0
1320.1754385964914,e8cd1158b93b,heroin,,visual,1.0,2004.0,True,1878.0,557.8245614035086,-557.8245614035086,0
478.0701754385941,e8cd1158b93b,heroin,,visual,1.0,2005.0,True,2009.0,1530.929824561406,-1530.929824561406,0
0.0,e8cd1158b93b,heroin,,visual,1.0,2006.0,True,2088.0,2088.0,-2088.0,0
0.0,e8cd1158b93b,heroin,,visual,1.0,2007.0,True,2399.0,2399.0,-2399.0,0
478.0701754385941,e8cd1158b93b,heroin,,visual,1.0,2008.0,True,3041.0,2562.929824561406,-2562.929824561406,0
3004.3859649122774,e8cd1158b93b,heroin,,visual,1.0,2009.0,True,3278.0,273.61403508772264,-273.61403508772264,0
2723.6842105263117,e8cd1158b93b,heroin,,visual,1.0,2010.0,True,3036.0,312.3157894736887,-312.3157894736887,0
1881.578947368423,e8cd1158b93b,heroin,,visual,1.0,2011.0,True,4397.0,2515.421052631577,-2515.421052631577,0
2162.2807017543887,e8cd1158b93b,heroin,,visual,1.0,2012.0,True,5925.0,3762.7192982456113,-3762.7192982456113,0
3004.3859649122774,e8cd1158b93b,heroin,,visual,1.0,2013.0,True,8257.0,5252.614035087723,-5252.614035087723,0
2723.6842105263117,e8cd1158b93b,heroin,,visual,1.0,2014.0,True,10574.0,7850.315789473689,-7850.315789473689,0
3565.789473684209,e8cd1158b93b,heroin,,visual,1.0,2015.0,True,12989.0,9423.21052631579,-9423.21052631579,0
5811.403508771927,e8cd1158b93b,heroin,,visual,1.0,2016.0,True,15482.0,9670.596491228072,-9670.596491228072,0
8057.017543859652,e8cd1158b93b,heroin,,visual,1.0,2017.0,True,15482.0,7424.9824561403475,-7424.9824561403475,0
8337.719298245618,e8cd1158b93b,heroin,,visual,1.0,2018.0,True,14996.0,6658.280701754382,-6658.280701754382,0
9460.526315789471,e8cd1158b93b,heroin,,visual,1.0,2019.0,True,14019.0,4558.473684210527,-4558.473684210527,0
1635.9649122806986,e8cd1158b93b,opioids,,visual,1.0,2003.0,True,1400.0,235.96491228069863,235.96491228069863,0
1635.9649122806986,e8cd1158b93b,opioids,,visual,1.0,2004.0,True,1664.0,28.035087719301373,-28.035087719301373,0
2478.070175438596,e8cd1158b93b,opioids,,visual,1.0,2005.0,True,1742.0,736.0701754385959,736.0701754385959,0
3039.473684210528,e8cd1158b93b,opioids,,visual,1.0,2006.0,True,2707.0,332.4736842105276,332.4736842105276,0
2197.36842105263,e8cd1158b93b,opioids,,visual,1.0,2007.0,True,2213.0,15.631578947370144,-15.631578947370144,0
3600.877192982459,e8cd1158b93b,opioids,,visual,1.0,2008.0,True,2306.0,1294.8771929824588,1294.8771929824588,0
3320.175438596493,e8cd1158b93b,opioids,,visual,1.0,2009.0,True,2946.0,374.1754385964932,374.1754385964932,0
4723.684210526313,e8cd1158b93b,opioids,,visual,1.0,2010.0,True,3007.0,1716.684210526313,1716.684210526313,0
5285.087719298245,e8cd1158b93b,opioids,,visual,1.0,2011.0,True,2666.0,2619.087719298245,2619.087719298245,0
4162.280701754382,e8cd1158b93b,opioids,,visual,1.0,2012.0,True,2628.0,1534.280701754382,1534.280701754382,0
6407.894736842108,e8cd1158b93b,opioids,,visual,1.0,2013.0,True,3105.0,3302.894736842108,3302.894736842108,0
7249.999999999996,e8cd1158b93b,opioids,,visual,1.0,2014.0,True,5544.0,1705.9999999999964,1705.9999999999964,0
6969.298245614031,e8cd1158b93b,opioids,,visual,1.0,2015.0,True,9580.0,2610.7017543859693,-2610.7017543859693,0
6969.298245614031,e8cd1158b93b,opioids,,visual,1.0,2016.0,True,19413.0,12443.70175438597,-12443.70175438597,0
8653.508771929826,e8cd1158b93b,opioids,,visual,1.0,2017.0,True,28466.0,19812.491228070176,-19812.491228070176,0
9214.912280701756,e8cd1158b93b,opioids,,visual,1.0,2018.0,True,31335.0,22120.087719298244,-22120.087719298244,0
10057.017543859643,e8cd1158b93b,opioids,,visual,1.0,2019.0,True,36359.0,26301.982456140355,-26301.982456140355,0
10618.421052631576,e8cd1158b93b,opioids,,visual,1.0,2020.0,True,56516.0,45897.57894736843,-45897.57894736843,0
11179.824561403508,e8cd1158b93b,opioids,,visual,1.0,2021.0,True,70601.0,59421.17543859649,-59421.17543859649,0
,e2da28655b9c,gun,two,control,,,,,,,0
,e2da28655b9c,hiv,two,control,,,,,,,0
,e2da28655b9c,drugOverdose,two,control,,,,,,,0
,e2da28655b9c,southAfrica,two,control,,,,,,,0
,e2da28655b9c,italy,two,control,,,,,,,0
,e2da28655b9c,population,two,control,,,,,,,0
,e2da28655b9c, cocaine,two,control,,,,,,,0
,e2da28655b9c,heroin,two,control,,,,,,,0
,e2da28655b9c,opioids,two,control,,,,,,,0
5.0,c87109c5740d,gun,two,txt,,,,,,,0
1.0,c87109c5740d,hiv,two,txt,,,,,,,0
5.0,c87109c5740d,drugOverdose,two,txt,,,,,,,0
4.0,c87109c5740d,southAfrica,two,txt,,,,,,,0
3.0,c87109c5740d,italy,two,txt,,,,,,,0
5.0,c87109c5740d,population,two,txt,,,,,,,0
4.0,c87109c5740d,cocaine,two,txt,,,,,,,0
5.0,c87109c5740d,heroin,two,txt,,,,,,,0
5.0,c87109c5740d,opioids,two,txt,,,,,,,0
50024.56183182565,a5ad61315b1e,gun,,visual,1.0,2003.0,True,44757.0,5267.561831825653,5267.561831825653,0
51147.36884936952,a5ad61315b1e,gun,,visual,1.0,2004.0,True,44933.0,6214.368849369515,6214.368849369515,0
46375.43902480811,a5ad61315b1e,gun,,visual,1.0,2005.0,True,45343.0,1032.4390248081108,1032.4390248081108,0
52270.17586691337,a5ad61315b1e,gun,,visual,1.0,2006.0,True,45316.0,6954.175866913371,6954.175866913371,0
53673.6846388432,a5ad61315b1e,gun,,visual,1.0,2007.0,True,43945.0,9728.684638843202,9728.684638843202,0
47217.544287966,a5ad61315b1e,gun,,visual,1.0,2008.0,True,39790.0,7427.544287966004,7427.544287966004,0
43849.12109375,a5ad61315b1e,gun,,visual,1.0,2009.0,True,36216.0,7633.12109375,7633.12109375,0
39919.296532346496,a5ad61315b1e,gun,,visual,1.0,2010.0,True,35332.0,4587.296532346496,4587.296532346496,0
33743.85793585527,a5ad61315b1e,gun,,visual,1.0,2011.0,True,35303.0,1559.142064144733,-1559.142064144733,0
29533.331620065783,a5ad61315b1e,gun,,visual,1.0,2012.0,True,36415.0,6881.668379934214,-6881.668379934214,0
35428.068462171046,a5ad61315b1e,gun,,visual,1.0,2013.0,True,35369.0,59.06846217104612,59.06846217104612,0
43287.71758497806,a5ad61315b1e,gun,,visual,1.0,2014.0,True,35398.0,7889.717584978061,7889.717584978061,0
39357.893023574565,a5ad61315b1e,gun,,visual,1.0,2015.0,True,37757.0,1600.8930235745647,1600.8930235745647,0
39919.296532346496,a5ad61315b1e,gun,,visual,1.0,2016.0,True,40327.0,407.7034676535041,-407.7034676535041,0
46375.43902480811,a5ad61315b1e,gun,,visual,1.0,2017.0,True,40231.0,6144.439024808111,6144.439024808111,0
54235.08814761513,a5ad61315b1e,gun,,visual,1.0,2018.0,True,39404.0,14831.088147615132,14831.088147615132,0
56761.40393708882,a5ad61315b1e,gun,,visual,1.0,2019.0,True,39107.0,17654.40393708882,17654.40393708882,0
15614.035087719298,a5ad61315b1e,hiv,,visual,1.0,2003.0,True,15100.0,514.0350877192977,514.0350877192977,0
14210.52631578948,a5ad61315b1e,hiv,,visual,1.0,2004.0,True,14416.0,205.47368421052124,-205.47368421052124,0
10561.403508771931,a5ad61315b1e,hiv,,visual,1.0,2005.0,True,13839.0,3277.5964912280688,-3277.5964912280688,0
8596.491228070172,a5ad61315b1e,hiv,,visual,1.0,2006.0,True,13265.0,4668.508771929828,-4668.508771929828,0
8596.491228070172,a5ad61315b1e,hiv,,visual,1.0,2007.0,True,12444.0,3847.508771929828,-3847.508771929828,0
10000.0,a5ad61315b1e,hiv,,visual,1.0,2008.0,True,11400.0,1400.0,-1400.0,0
14491.228070175435,a5ad61315b1e,hiv,,visual,1.0,2009.0,True,10551.0,3940.2280701754353,3940.2280701754353,0
16456.140350877195,a5ad61315b1e,hiv,,visual,1.0,2010.0,True,9143.0,7313.140350877195,7313.140350877195,0
13368.42105263158,a5ad61315b1e,hiv,,visual,1.0,2011.0,True,8428.0,4940.42105263158,4940.42105263158,0
11403.508771929828,a5ad61315b1e,hiv,,visual,1.0,2012.0,True,7973.0,3430.508771929828,3430.508771929828,0
11403.508771929828,a5ad61315b1e,hiv,,visual,1.0,2013.0,True,7682.0,3721.508771929828,3721.508771929828,0
12245.614035087718,a5ad61315b1e,hiv,,visual,1.0,2014.0,True,7413.0,4832.614035087718,4832.614035087718,0
13649.122807017546,a5ad61315b1e,hiv,,visual,1.0,2015.0,True,7089.0,6560.122807017546,6560.122807017546,0
11964.912280701752,a5ad61315b1e,hiv,,visual,1.0,2016.0,True,7430.0,4534.912280701752,4534.912280701752,0
14210.52631578948,a5ad61315b1e,hiv,,visual,1.0,2017.0,True,7338.0,6872.526315789479,6872.526315789479,0
17017.543859649126,a5ad61315b1e,hiv,,visual,1.0,2018.0,True,7200.0,9817.543859649126,9817.543859649126,0
13087.719298245614,a5ad61315b1e,hiv,,visual,1.0,2019.0,True,7053.0,6034.719298245615,6034.719298245615,0
31505.264014528508,a5ad61315b1e,drugOverdose,,visual,1.0,2003.0,True,25785.0,5720.264014528508,5720.264014528508,0
32628.07103207237,a5ad61315b1e,drugOverdose,,visual,1.0,2004.0,True,27424.0,5204.07103207237,5204.07103207237,0
32066.66752330044,a5ad61315b1e,drugOverdose,,visual,1.0,2005.0,True,29813.0,2253.667523300439,2253.667523300439,0
30943.860505756576,a5ad61315b1e,drugOverdose,,visual,1.0,2006.0,True,34425.0,3481.1394942434235,-3481.1394942434235,0
33189.474540844305,a5ad61315b1e,drugOverdose,,visual,1.0,2007.0,True,36010.0,2820.525459155695,-2820.525459155695,0
37680.70261101973,a5ad61315b1e,drugOverdose,,visual,1.0,2008.0,True,36450.0,1230.702611019733,1230.702611019733,0
