Unnamed: 0,article_recommend,article_surprise,article_interest,PID,treatment,article,study,topic_inv_drug_overdose_vlaue_opinion,topic_inv_defend_view_point_drugOverdose,topic_inv_learning_drug_overdose,topic_inv_motivation_gaining_knowledge,att_elic_drug_overdose_opinion_pre,att_elic_combat_drug_priority_pre,att_elic_opinion_on_drug_legalization_pre,att_elic_drug_overdose_opinion_post,att_elic_combat_drug_priority_post,att_elic_opinion_on_drug_legalization_post,gender,race,education,age,race.Comment,education.Comment,gender.Comment,survey_start,study_finish,study_duration,cogref_race,cogref_sheep,cogref_name,cogref_volume,cogref_Superbowl,exclude,topic_involvement,attitude_pre,attitude_post,recall_rmse,recall_signed_err,recall_rmse.sc,vis_elic_rmse,vis_elic_signed_err,vis_elic_rmse.sc
11,4,3,5,00f375119d22,Control,Synthetic opioids,two,5,4,4,4,4,5,4,4,5,4,Woman,Native American,High School,51,,,,1679512120918,1679514630956,41.8339666666667,Second,Eight,Emily,0,The Eagles believe the field conditions played a part in them not playing as well as they would have liked to during the Super Bowl.,0,17,13,13,4383.34052717652,1136.6241920591,0.0547917565897065,,,
12,5,4,4,6ca2f97d4a43,Control,Drug overdoses,two,4,5,4,4,4,4,4,5,5,3,Woman,White/Caucasian/European,Masters,34,,,,1679512214050,1679513933443,28.65655,Second,8,Emily,27,"The Eagles players expressed frustration with the poor field conditions at Arizona's stadium, but acknowledged that the Chiefs deserved to win.",0,17,12,13,20848.8462816926,-16046.4100514383,0.260610578521158,,,
13,5,5,4,6ca2f97d4a43,Control,Drug-use disorder,two,4,5,4,4,4,4,4,5,5,3,Woman,White/Caucasian/European,Masters,34,,,,1679512214050,1679513933443,28.65655,Second,8,Emily,27,"The Eagles players expressed frustration with the poor field conditions at Arizona's stadium, but acknowledged that the Chiefs deserved to win.",0,17,12,13,0.445594259324298,0.140789687842653,0.0445594259324298,,,
14,4,3,5,6ca2f97d4a43,Control,Synthetic opioids,two,4,5,4,4,4,4,4,5,5,3,Woman,White/Caucasian/European,Masters,34,,,,1679512214050,1679513933443,28.65655,Second,8,Emily,27,"The Eagles players expressed frustration with the poor field conditions at Arizona's stadium, but acknowledged that the Chiefs deserved to win.",0,17,12,13,5020.99644390328,2786.81023938856,0.0627624555487911,,,
15,5,3,5,2c5843f9c456,Control,Drug overdoses,two,1,5,3,5,5,5,1,5,5,1,Woman,African American/Black,High School,33,,,,1679512552182,1679514865310,38.5521333333333,2nd place,7,june,9,so what i think of this article is the eagles has alot  of cofidence and reddick is against arizona,0,14,11,11,38402.9096793007,-36067.257997936,0.480036370991259,,,
16,5,1,5,2c5843f9c456,Control,Drug-use disorder,two,1,5,3,5,5,5,1,5,5,1,Woman,African American/Black,High School,33,,,,1679512552182,1679514865310,38.5521333333333,2nd place,7,june,9,so what i think of this article is the eagles has alot  of cofidence and reddick is against arizona,0,14,11,11,0.92315898592295,-0.715499226006192,0.092315898592295,,,
17,4,4,5,2c5843f9c456,Control,Synthetic opioids,two,1,5,3,5,5,5,1,5,5,1,Woman,African American/Black,High School,33,,,,1679512552182,1679514865310,38.5521333333333,2nd place,7,june,9,so what i think of this article is the eagles has alot  of cofidence and reddick is against arizona,0,14,11,11,18432.4971856133,-3771.50138504155,0.230406214820166,,,
18,3,4,3,e8cd1158b93b,Draw,Drug overdoses,two,2,1,4,4,5,5,2,5,5,2,Man,Hispanic/Latino,High School,22,,,,1679512575189,1679513196068,10.3479833333333,Second,8,Emily,9,"The field conditions were horrible but neither team had a clear advantage, because they were both playing on it.",0,11,12,12,14046.2834061241,-6101.05572755419,0.175578542576551,18109.7291213341,-9353.89370485036,0.226371614016677
19,2,2,2,e8cd1158b93b,Draw,Drug-use disorder,two,2,1,4,4,5,5,2,5,5,2,Man,Hispanic/Latino,High School,22,,,,1679512575189,1679513196068,10.3479833333333,Second,8,Emily,9,"The field conditions were horrible but neither team had a clear advantage, because they were both playing on it.",0,11,12,12,0.254718747458341,-0.213564241486069,0.0254718747458341,0.833824391073854,0.636796955624355,0.0833824391073854
20,3,4,2,e8cd1158b93b,Draw,Synthetic opioids,two,2,1,4,4,5,5,2,5,5,2,Man,Hispanic/Latino,High School,22,,,,1679512575189,1679513196068,10.3479833333333,Second,8,Emily,9,"The field conditions were horrible but neither team had a clear advantage, because they were both playing on it.",0,11,12,12,4785.03409657374,1336.30101569714,0.0598129262071718,19736.765912906,-9199.94090489381,0.246709573911325
21,3,4,4,e2da28655b9c,Control,Drug overdoses,two,2,4,3,4,4,4,5,4,5,5,Man,other,High School,22,Multiracial,,,1679512628597,1679514230625,26.7004666666667,second,8,june,27,"During the Super Bowl, the conditions of the turf were poor and negatively affected both teams.",0,13,13,14,6545.30942578567,-5255.85448916409,0.0818163678223208,,,
22,3,1,3,e2da28655b9c,Control,Drug-use disorder,two,2,4,3,4,4,4,5,4,5,5,Man,other,High School,22,Multiracial,,,1679512628597,1679514230625,26.7004666666667,second,8,june,27,"During the Super Bowl, the conditions of the turf were poor and negatively affected both teams.",0,13,13,14,1.49422604580349,1.0406927244582,0.149422604580349,,,
23,4,4,4,e2da28655b9c,Control,Synthetic opioids,two,2,4,3,4,4,4,5,4,5,5,Man,other,High School,22,Multiracial,,,1679512628597,1679514230625,26.7004666666667,second,8,june,27,"During the Super Bowl, the conditions of the turf were poor and negatively affected both teams.",0,13,13,14,9908.7179557527,7118.61865189289,0.123858974446909,,,
24,4,2,4,c87109c5740d,Categorize,Drug overdoses,two,2,3,4,5,5,5,2,5,5,2,Woman,White/Caucasian/European,Undergraduate,54,,,,1679512664970,1679513712403,17.4572166666667,second,8,Emily,3,Poor turf negatively impacted playing conditions at the 2023 Super Bowl.,0,14,12,12,7010.04343686181,-5880.25938064371,0.0876255429607726,,,
25,4,3,4,c87109c5740d,Categorize,Drug-use disorder,two,2,3,4,5,5,5,2,5,5,2,Woman,White/Caucasian/European,Undergraduate,54,,,,1679512664970,1679513712403,17.4572166666667,second,8,Emily,3,Poor turf negatively impacted playing conditions at the 2023 Super Bowl.,0,14,12,12,2.10911209129379,1.41981445564451,0.210911209129379,,,
26,4,1,4,c87109c5740d,Categorize,Synthetic opioids,two,2,3,4,5,5,5,2,5,5,2,Woman,White/Caucasian/European,Undergraduate,54,,,,1679512664970,1679513712403,17.4572166666667,second,8,Emily,3,Poor turf negatively impacted playing conditions at the 2023 Super Bowl.,0,14,12,12,8430.48597708833,7086.90291363689,0.105381074713604,,,
27,4,4,3,a5ad61315b1e,Draw,Drug overdoses,two,4,5,5,5,5,5,4,5,4,4,Woman,White/Caucasian/European,Masters,30,,,,1679512741393,1679513898779,19.2897666666667,Second,8,Emily,27,"The Eagles acknowledge that field conditions affected both teams in their loss to the Chiefs, with one player expressing frustration over Arizona's turf standards.",0,19,14,13,7925.88712395945,-6514.52248915602,0.0990735890494931,4449.12631217174,651.628118650828,0.0556140789021468
28,4,5,4,a5ad61315b1e,Draw,Drug-use disorder,two,4,5,5,5,5,5,4,5,4,4,Woman,White/Caucasian/European,Masters,30,,,,1679512741393,1679513898779,19.2897666666667,Second,8,Emily,27,"The Eagles acknowledge that field conditions affected both teams in their loss to the Chiefs, with one player expressing frustration over Arizona's turf standards.",0,19,14,13,0.247609219944662,0.11328689370485,0.0247609219944662,0.324678676855616,0.180572862497178,0.0324678676855616
29,3,4,5,a5ad61315b1e,Draw,Synthetic opioids,two,4,5,5,5,5,5,4,5,4,4,Woman,White/Caucasian/European,Masters,30,,,,1679512741393,1679513898779,19.2897666666667,Second,8,Emily,27,"The Eagles acknowledge that field conditions affected both teams in their loss to the Chiefs, with one player expressing frustration over Arizona's turf standards.",0,19,14,13,11004.7114842696,-5258.62234714047,0.13755889355337,14629.4965168546,11766.6783313135,0.182868706460682
30,4,3,5,edb9b55f810a,Draw,Drug overdoses,two,3,3,3,3,4,5,3,5,5,3,Woman,"East Asian e.g. Chinese, Japanese, South-East Asian",Undergraduate,29,,,,1679513354381,1679513984150,10.49615,second,8,Emily,0,"The Eagles complained about the poor conditions of the field, which affected their game, but ultimately was not the reason they lost. ",0,12,12,13,5174.14410960958,-2286.89719638883,0.0646768013701197,9386.20682244412,-7598.21775025801,0.117327585280551
31,4,4,5,edb9b55f810a,Draw,Drug-use disorder,two,3,3,3,3,4,5,3,5,5,3,Woman,"East Asian e.g. Chinese, Japanese, South-East Asian",Undergraduate,29,,,,1679513354381,1679513984150,10.49615,second,8,Emily,0,"The Eagles complained about the poor conditions of the field, which affected their game, but ultimately was not the reason they lost. ",0,12,12,13,0.484355662146804,0.405620411970298,0.0484355662146804,0.738602304611453,0.659490381010545,0.0738602304611453
32,5,5,5,edb9b55f810a,Draw,Synthetic opioids,two,3,3,3,3,4,5,3,5,5,3,Woman,"East Asian e.g. Chinese, Japanese, South-East Asian",Undergraduate,29,,,,1679513354381,1679513984150,10.49615,second,8,Emily,0,"The Eagles complained about the poor conditions of the field, which affected their game, but ultimately was not the reason they lost. ",0,12,12,13,7511.27059909322,5487.42755673621,0.0938908824886652,15602.0184073483,-3893.91998679882,0.195025230091854
33,3,2,2,769b86ed4f2a,Control,Drug overdoses,two,1,1,1,1,4,3,2,5,3,1,Woman,Hispanic/Latino,Undergraduate,23,,,,1679513453864,1679514112956,10.9848666666667,second,8,Emily,27,"The Eagle's coach claimed that the Super Bowl seemed harder because of the field conditions this year; however, still agrees the chiefs deserved their win despite the hinderances. ",0,4,9,9,9332.53378561811,-4138.07843137255,0.116656672320226,,,
34,1,2,1,769b86ed4f2a,Control,Drug-use disorder,two,1,1,1,1,4,3,2,5,3,1,Woman,Hispanic/Latino,Undergraduate,23,,,,1679513453864,1679514112956,10.9848666666667,second,8,Emily,27,"The Eagle's coach claimed that the Super Bowl seemed harder because of the field conditions this year; however, still agrees the chiefs deserved their win despite the hinderances. ",0,4,9,9,2.02699427935184,1.81302567079463,0.202699427935184,,,
35,3,1,2,769b86ed4f2a,Control,Synthetic opioids,two,1,1,1,1,4,3,2,5,3,1,Woman,Hispanic/Latino,Undergraduate,23,,,,1679513453864,1679514112956,10.9848666666667,second,8,Emily,27,"The Eagle's coach claimed that the Super Bowl seemed harder because of the field conditions this year; however, still agrees the chiefs deserved their win despite the hinderances. ",0,4,9,9,12458.850819965,3910.28531855956,0.155735635249563,,,
36,5,5,5,c111cbeb7080,Categorize,Drug overdoses,two,2,2,3,3,3,2,4,4,3,4,Man,Hispanic/Latino,Undergraduate,37,,,,1679513486140,1679514357088,14.5158,first,8,Emily,0,The Philladelpia Eagles were unhappy in their game with the Chiefs. Their main concern was the grass they were playing on.,0,10,9,11,7160.67643588796,4332.12280701753,0.0895084554485995,,,
37,5,5,5,c111cbeb7080,Categorize,Drug-use disorder,two,2,2,3,3,3,2,4,4,3,4,Man,Hispanic/Latino,Undergraduate,37,,,,1679513486140,1679514357088,14.5158,first,8,Emily,0,The Philladelpia Eagles were unhappy in their game with the Chiefs. Their main concern was the grass they were playing on.,0,10,9,11,1.50669693891147,1.32587719298246,0.150669693891147,,,
38,5,5,5,c111cbeb7080,Categorize,Synthetic opioids,two,2,2,3,3,3,2,4,4,3,4,Man,Hispanic/Latino,Undergraduate,37,,,,1679513486140,1679514357088,14.5158,first,8,Emily,0,The Philladelpia Eagles were unhappy in their game with the Chiefs. Their main concern was the grass they were playing on.,0,10,9,11,14804.884162594,921.250230840258,0.185061052032425,,,
39,5,4,4,4c91069c5c5e,Draw,Drug overdoses,two,4,3,3,3,5,5,1,5,5,1,Man,White/Caucasian/European,Undergraduate,25,,,,1679513504465,1679514117985,10.2253333333333,2nd,8,Emily,27,The turf used in the super bowl had an effect on the performance on the players,0,13,11,11,6187.87140316224,-4565.4520123839,0.077348392539528,7226.5390334082,-6233.15067079464,0.0903317379176025
40,4,4,4,4c91069c5c5e,Draw,Drug-use disorder,two,4,3,3,3,5,5,1,5,5,1,Man,White/Caucasian/European,Undergraduate,25,,,,1679513504465,1679514117985,10.2253333333333,2nd,8,Emily,27,The turf used in the super bowl had an effect on the performance on the players,0,13,11,11,2.85119925377807,1.84664602683179,0.285119925377807,1.94836618810352,1.66259674922601,0.194836618810352
41,4,4,4,4c91069c5c5e,Draw,Synthetic opioids,two,4,3,3,3,5,5,1,5,5,1,Man,White/Caucasian/European,Undergraduate,25,,,,1679513504465,1679514117985,10.2253333333333,2nd,8,Emily,27,The turf used in the super bowl had an effect on the performance on the players,0,13,11,11,9916.54909211978,7248.35087719298,0.123956863651497,14856.9679215752,403.013850415513,0.18571209901969
42,1,2,2,d2079648fcb3,Control,Drug overdoses,two,2,2,2,2,4,2,4,4,2,4,Woman,White/Caucasian/European,other,63,,2 years of college,,1679513786964,1679515583687,29.9453833333333,second,8,Emily,0,"The poor condition of the field for the 2023 Super Bowl game affected the game, but players didn't want to make it an excuse for below-normal performance.",0,8,10,10,11934.7126229587,-10094.5029201134,0.149183907786983,,,
43,1,2,2,d2079648fcb3,Control,Drug-use disorder,two,2,2,2,2,4,2,4,4,2,4,Woman,White/Caucasian/European,other,63,,2 years of college,,1679513786964,1679515583687,29.9453833333333,second,8,Emily,0,"The poor condition of the field for the 2023 Super Bowl game affected the game, but players didn't want to make it an excuse for below-normal performance.",0,8,10,10,1.72178858178115,0.864138378225982,0.172178858178115,,,
44,1,4,2,d2079648fcb3,Control,Synthetic opioids,two,2,2,2,2,4,2,4,4,2,4,Woman,White/Caucasian/European,other,63,,2 years of college,,1679513786964,1679515583687,29.9453833333333,second,8,Emily,0,"The poor condition of the field for the 2023 Super Bowl game affected the game, but players didn't want to make it an excuse for below-normal performance.",0,8,10,10,4888.64466163695,1465.85030460094,0.0611080582704618,,,
45,2,2,4,e5d56dcad5b8,Control,Drug overdoses,two,2,2,3,3,3,4,4,4,4,5,Woman,White/Caucasian/European,High School,22,,,,1679513869517,1679514262539,6.55036666666667,Second,8,Emily,0,The turf influenced the 2023 Super Bowl ,0,10,11,13,6661.72709425926,-3171.48916408669,0.0832715886782407,,,
46,2,3,3,e5d56dcad5b8,Control,Drug-use disorder,two,2,2,3,3,3,4,4,4,4,5,Woman,White/Caucasian/European,High School,22,,,,1679513869517,1679514262539,6.55036666666667,Second,8,Emily,0,The turf influenced the 2023 Super Bowl ,0,10,11,13,0.630871497146498,-0.56389318885449,0.0630871497146498,,,
47,2,2,3,e5d56dcad5b8,Control,Synthetic opioids,two,2,2,3,3,3,4,4,4,4,5,Woman,White/Caucasian/European,High School,22,,,,1679513869517,1679514262539,6.55036666666667,Second,8,Emily,0,The turf influenced the 2023 Super Bowl ,0,10,11,13,14090.5021773505,11413.8633425669,0.176131277216882,,,
48,4,1,5,4c78ee30cc2f,Categorize,Drug overdoses,two,4,4,5,5,3,4,5,4,4,1,Man,Native American,Doctorate,19,,,,1679513945097,1679514860321,15.2537333333333,Second,8,Emily,9,Bad field conditions affected the game.,0,18,12,9,11785.6802141161,-7436.3978355888,0.147321002676452,,,
49,4,1,5,4c78ee30cc2f,Categorize,Drug-use disorder,two,4,4,5,5,3,4,5,4,4,1,Man,Native American,Doctorate,19,,,,1679513945097,1679514860321,15.2537333333333,Second,8,Emily,9,Bad field conditions affected the game.,0,18,12,9,2.40421310997738,2.15299551838815,0.240421310997738,,,
50,4,1,5,4c78ee30cc2f,Categorize,Synthetic opioids,two,4,4,5,5,3,4,5,4,4,1,Man,Native American,Doctorate,19,,,,1679513945097,1679514860321,15.2537333333333,Second,8,Emily,9,Bad field conditions affected the game.,0,18,12,9,26364.931265368,21341.6021698083,0.3295616408171,,,
51,2,2,2,b654ef03cb5c,Control,Drug overdoses,two,3,3,3,3,3,4,5,4,4,5,Woman,"East Asian e.g. Chinese, Japanese, South-East Asian",Undergraduate,28,,,,1679513990108,1679514687233,11.61875,second,8,Emily,0,"Poor turf condition at the super bowl caused issues for the Eagles, but it wasn't the deciding factor in game.",0,12,12,13,6678.58091406741,-3461.27929889061,0.0834822614258426,,,
52,2,2,2,b654ef03cb5c,Control,Drug-use disorder,two,3,3,3,3,3,4,5,4,4,5,Woman,"East Asian e.g. Chinese, Japanese, South-East Asian",Undergraduate,28,,,,1679513990108,1679514687233,11.61875,second,8,Emily,0,"Poor turf condition at the super bowl caused issues for the Eagles, but it wasn't the deciding factor in game.",0,12,12,13,0.370249801899037,0.0152726211784051,0.0370249801899037,,,
53,2,2,2,b654ef03cb5c,Control,Synthetic opioids,two,3,3,3,3,3,4,5,4,4,5,Woman,"East Asian e.g. Chinese, Japanese, South-East Asian",Undergraduate,28,,,,1679513990108,1679514687233,11.61875,second,8,Emily,0,"Poor turf condition at the super bowl caused issues for the Eagles, but it wasn't the deciding factor in game.",0,12,12,13,5500.12421643111,2056.42343317175,0.0687515527053888,,,
54,3,4,4,038c12c0f94e,Draw,Drug-use disorder,two,2,3,3,5,5,5,5,5,5,5,Man,White/Caucasian/European,Undergraduate,35,,,,1679513990536,1679515060114,17.8263,2nd,8,Emily,3,"The eagles lost the game and bad turn was NOT to blame, but it made it harder for everyone to play.",0,13,15,15,0.669489334807947,0.614093137254902,0.0669489334807947,3.40676637225294,3.04133771929825,0.340676637225294
55,4,5,5,038c12c0f94e,Draw,Synthetic opioids,two,2,3,3,5,5,5,5,5,5,5,Man,White/Caucasian/European,Undergraduate,35,,,,1679513990536,1679515060114,17.8263,2nd,8,Emily,3,"The eagles lost the game and bad turn was NOT to blame, but it made it harder for everyone to play.",0,13,15,15,9410.9378967189,6090.91782086796,0.117636723708986,12525.5994856584,18.8956602031412,0.15656999357073
56,3,4,3,2ae354372045,Draw,Drug overdoses,two,2,3,3,3,3,4,4,4,4,2,Man,"East Asian e.g. Chinese, Japanese, South-East Asian",Undergraduate,24,,,,1679514063867,1679514887895,13.7338,first,8,june,27,"The field for the football game was not in good conditions, but it shouldn't be a factor to blame for the game.",0,11,11,10,3525.25165042075,-420.973168214667,0.0440656456302593,21431.0215209412,-18039.1362229102,0.267887769011766
57,3,3,3,2ae354372045,Draw,Drug-use disorder,two,2,3,3,3,3,4,4,4,4,2,Man,"East Asian e.g. Chinese, Japanese, South-East Asian",Undergraduate,24,,,,1679514063867,1679514887895,13.7338,first,8,june,27,"The field for the football game was not in good conditions, but it shouldn't be a factor to blame for the game.",0,11,11,10,1.95537128550476,1.63989293085655,0.195537128550476,1.23292147812765,0.702844427244582,0.123292147812765
58,3,3,3,2ae354372045,Draw,Synthetic opioids,two,2,3,3,3,3,4,4,4,4,2,Man,"East Asian e.g. Chinese, Japanese, South-East Asian",Undergraduate,24,,,,1679514063867,1679514887895,13.7338,first,8,june,27,"The field for the football game was not in good conditions, but it shouldn't be a factor to blame for the game.",0,11,11,10,19672.550271161,-5388.30655586334,0.245906878389512,12579.0158609102,-2802.89566020314,0.157237698261377
59,3,1,4,28c060f65f4f,Categorize,Drug overdoses,two,1,2,4,4,3,4,4,3,4,4,Man,White/Caucasian/European,other,36,,"Some college, no degree",,1679514072457,1679514894086,13.6938166666667,Second,8,Emily,27 cubic feet,"The field conditions at the Super Bowl were not great, multiple Eagles players felt they had issues with it, however they don't think that is why they lost",0,11,11,11,3664.03473552029,1147.65428276572,0.0458004341940036,,,
60,2,2,3,28c060f65f4f,Categorize,Drug-use disorder,two,1,2,4,4,3,4,4,3,4,4,Man,White/Caucasian/European,other,36,,"Some college, no degree",,1679514072457,1679514894086,13.6938166666667,Second,8,Emily,27 cubic feet,"The field conditions at the Super Bowl were not great, multiple Eagles players felt they had issues with it, however they don't think that is why they lost",0,11,11,11,1.06018785674241,0.607901186790505,0.106018785674241,,,
61,4,2,4,28c060f65f4f,Categorize,Synthetic opioids,two,1,2,4,4,3,4,4,3,4,4,Man,White/Caucasian/European,other,36,,"Some college, no degree",,1679514072457,1679514894086,13.6938166666667,Second,8,Emily,27 cubic feet,"The field conditions at the Super Bowl were not great, multiple Eagles players felt they had issues with it, however they don't think that is why they lost",0,11,11,11,9477.15078554238,1644.01108033241,0.11846438481928,,,
62,1,1,2,cb35028dc8c8,Categorize,Drug overdoses,two,1,1,1,1,5,5,3,5,5,3,Woman,Hispanic/Latino,High School,33,,,,1679514104001,1679515685484,26.35805,second,8,Emily,3,Field conditions may or may not have been a factor in who won the game but one team has a theory of its own.,0,4,13,13,4806.15935095284,-1140.2714138287,0.0600769918869105,,,
63,1,1,1,cb35028dc8c8,Categorize,Drug-use disorder,two,1,1,1,1,5,5,3,5,5,3,Woman,Hispanic/Latino,High School,33,,,,1679514104001,1679515685484,26.35805,second,8,Emily,3,Field conditions may or may not have been a factor in who won the game but one team has a theory of its own.,0,4,13,13,3.08834026821088,2.67278766769866,0.308834026821088,,,
64,1,1,1,cb35028dc8c8,Categorize,Synthetic opioids,two,1,1,1,1,5,5,3,5,5,3,Woman,Hispanic/Latino,High School,33,,,,1679514104001,1679515685484,26.35805,second,8,Emily,3,Field conditions may or may not have been a factor in who won the game but one team has a theory of its own.,0,4,13,13,32250.7578128565,29208.6463527239,0.403134472660706,,,
65,3,2,3,e7a153af443f,Categorize,Drug overdoses,two,2,3,3,3,5,5,1,5,5,1,Woman,White/Caucasian/European,Undergraduate,36,,,,1679514186997,1679515775515,26.4753,1st,8,June,27,"The Eagles lost to the Chiefs in a game affected by poor field conditions, which slowed down their pass rushers and was a point of frustration for the players.",0,11,11,11,5390.9949215539,-446.772961816307,0.0673874365194237,,,
66,3,2,3,e7a153af443f,Categorize,Drug-use disorder,two,2,3,3,3,5,5,1,5,5,1,Woman,White/Caucasian/European,Undergraduate,36,,,,1679514186997,1679515775515,26.4753,1st,8,June,27,"The Eagles lost to the Chiefs in a game affected by poor field conditions, which slowed down their pass rushers and was a point of frustration for the players.",0,11,11,11,3.08101226687949,2.67691563467492,0.308101226687949,,,
67,3,2,3,e7a153af443f,Categorize,Synthetic opioids,two,2,3,3,3,5,5,1,5,5,1,Woman,White/Caucasian/European,Undergraduate,36,,,,1679514186997,1679515775515,26.4753,1st,8,June,27,"The Eagles lost to the Chiefs in a game affected by poor field conditions, which slowed down their pass rushers and was a point of frustration for the players.",0,11,11,11,16164.5637420418,2933.94644506002,0.202057046775523,,,
68,3,4,5,856489f5a0b1,Draw,Drug overdoses,two,1,1,2,2,3,4,4,4,4,4,Woman,White/Caucasian/European,High School,46,,,,1679514264856,1679515607665,22.38015,second,8,Emily,27,The bad quality of the turf had a negative effect on how the Eagles played in the Superbowl. ,0,6,11,12,22221.5104941721,-17580.5698348007,0.277768881177152,6495.70455004434,1517.05744082172,0.0811963068755542
69,3,3,4,856489f5a0b1,Draw,Drug-use disorder,two,1,1,2,2,3,4,4,4,4,4,Woman,White/Caucasian/European,High School,46,,,,1679514264856,1679515607665,22.38015,second,8,Emily,27,The bad quality of the turf had a negative effect on how the Eagles played in the Superbowl. ,0,6,11,12,0.674138217756753,-0.607017329701206,0.0674138217756753,1.99510670900448,1.23859638414885,0.199510670900448
70,3,3,5,856489f5a0b1,Draw,Synthetic opioids,two,1,1,2,2,3,4,4,4,4,4,Woman,White/Caucasian/European,High School,46,,,,1679514264856,1679515607665,22.38015,second,8,Emily,27,The bad quality of the turf had a negative effect on how the Eagles played in the Superbowl. ,0,6,11,12,8623.09644726773,5621.34522701697,0.107788705590847,16042.4330232662,4138.05567217798,0.200530412790828
71,3,2,5,261adba4de5e,Categorize,Drug overdoses,two,3,2,4,3,4,5,2,5,5,2,Woman,White/Caucasian/European,High School,19,,,,1679514277889,1679515255293,16.2900666666667,Second,8,June,27,The turf played on during the 2023 Super Bowl was not adequate for the game and made it difficult for both teams to play.,0,12,11,12,3664.11537582496,-2502.92899035128,0.045801442197812,,,
