Unnamed: 0,article_recommend,article_surprise,article_interest,PID,treatment,article,study,topic_inv_drug_overdose_vlaue_opinion,topic_inv_defend_view_point_drugOverdose,topic_inv_learning_drug_overdose,topic_inv_motivation_gaining_knowledge,att_elic_drug_overdose_opinion_pre,att_elic_combat_drug_priority_pre,att_elic_opinion_on_drug_legalization_pre,att_elic_drug_overdose_opinion_post,att_elic_combat_drug_priority_post,att_elic_opinion_on_drug_legalization_post,gender,race,education,age,education.Comment,gender.Comment,race.Comment,survey_start,study_finish,study_duration,cogref_race,cogref_sheep,cogref_name,cogref_volume,cogref_Superbowl,exclude,topic_involvement,attitude_pre,attitude_post,recall_rmse,recall_signed_err,vis_elic_rmse,vis_elic_signed_err,recall_rmse.sc,vis_elic_rmse.sc
28,2,1,3,2d6c2df5b8c0,Control,Drug overdoses,one,4,3,3,3,5,4,4,5,4,4,Man,White/Caucasian/European,Undergraduate,68,,,,1678807232070,1678807767019,8.91581666666667,second,8,Emily,27,Eagles Players state that the condition of the field for the 2023 Superbowl was sub par at best.,0,13,13,13,8681.12916734131,6867.98452012384,,,0.108514114591766,
29,3,1,2,2d6c2df5b8c0,Control,Drug-use disorder,one,4,3,3,3,5,4,4,5,4,4,Man,White/Caucasian/European,Undergraduate,68,,,,1678807232070,1678807767019,8.91581666666667,second,8,Emily,27,Eagles Players state that the condition of the field for the 2023 Superbowl was sub par at best.,0,13,13,13,0.322619261073204,0.278566821465428,,,0.0322619261073204,
30,2,1,2,2d6c2df5b8c0,Control,Synthetic opioids,one,4,3,3,3,5,4,4,5,4,4,Man,White/Caucasian/European,Undergraduate,68,,,,1678807232070,1678807767019,8.91581666666667,second,8,Emily,27,Eagles Players state that the condition of the field for the 2023 Superbowl was sub par at best.,0,13,13,13,17644.4828873639,13201.7211449677,,,0.220556036092048,
31,2,3,2,7f6266f28053,Categorize,Drug overdoses,one,1,1,2,2,3,4,4,4,4,4,Woman,White/Caucasian/European,other,39,Associate's Degree,,,1678807266214,1678808339698,17.8914,second,8,Emily,0,The Eagles are frustrated about the poor quality of the turf used in the 2023 Superbowl but don't want to use it as an excuse for losing.,0,6,11,12,5739.7137366637,-3590.73581011352,,,0.0717464217082963,
32,2,2,2,7f6266f28053,Categorize,Drug-use disorder,one,1,1,2,2,3,4,4,4,4,4,Woman,White/Caucasian/European,other,39,Associate's Degree,,,1678807266214,1678808339698,17.8914,second,8,Emily,0,The Eagles are frustrated about the poor quality of the turf used in the 2023 Superbowl but don't want to use it as an excuse for losing.,0,6,11,12,0.10081175932866,-0.0339331785345713,,,0.010081175932866,
33,3,4,3,7f6266f28053,Categorize,Synthetic opioids,one,1,1,2,2,3,4,4,4,4,4,Woman,White/Caucasian/European,other,39,Associate's Degree,,,1678807266214,1678808339698,17.8914,second,8,Emily,0,The Eagles are frustrated about the poor quality of the turf used in the 2023 Superbowl but don't want to use it as an excuse for losing.,0,6,11,12,7398.18608539945,3433.02308402586,,,0.0924773260674931,
34,1,1,1,a2225cfad085,Categorize,Drug overdoses,one,2,1,2,2,3,3,5,3,3,5,Man,Hispanic/Latino,Undergraduate,27,,,,1678807324982,1678808205959,14.68295,second,8,Emiy,0,The conditions of the Superbowl field were a point frustration for many players.,0,7,11,11,8430.36869015852,6551.16305469556,,,0.105379608626982,
35,1,1,2,a2225cfad085,Categorize,Drug-use disorder,one,2,1,2,2,3,3,5,3,3,5,Man,Hispanic/Latino,Undergraduate,27,,,,1678807324982,1678808205959,14.68295,second,8,Emiy,0,The conditions of the Superbowl field were a point frustration for many players.,0,7,11,11,0.560538935163249,0.468066305469556,,,0.0560538935163249,
36,1,1,1,a2225cfad085,Categorize,Synthetic opioids,one,2,1,2,2,3,3,5,3,3,5,Man,Hispanic/Latino,Undergraduate,27,,,,1678807324982,1678808205959,14.68295,second,8,Emiy,0,The conditions of the Superbowl field were a point frustration for many players.,0,7,11,11,6025.7133417298,4993.9649122807,,,0.0753214167716225,
37,4,5,5,022d1c4cf0c1,Control,Drug overdoses,one,2,1,3,4,4,2,2,4,2,1,Woman,White/Caucasian/European,Undergraduate,45,,,,1678807423012,1678809157214,28.9033666666667,second,8,Emily,27,"The Eagles were unsatisfied with the quality of the field turf during a game and didn't feel they were able to play their best, but emphasized that did not result in their loss as the other team experienced the same situation.",0,10,8,7,7207.16434488207,3730.72961816305,,,0.0900895543110258,
38,4,5,5,022d1c4cf0c1,Control,Drug-use disorder,one,2,1,3,4,4,2,2,4,2,1,Woman,White/Caucasian/European,Undergraduate,45,,,,1678807423012,1678809157214,28.9033666666667,second,8,Emily,27,"The Eagles were unsatisfied with the quality of the field turf during a game and didn't feel they were able to play their best, but emphasized that did not result in their loss as the other team experienced the same situation.",0,10,8,7,0.404560743444401,0.313654540763674,,,0.0404560743444401,
39,4,5,5,022d1c4cf0c1,Control,Synthetic opioids,one,2,1,3,4,4,2,2,4,2,1,Woman,White/Caucasian/European,Undergraduate,45,,,,1678807423012,1678809157214,28.9033666666667,second,8,Emily,27,"The Eagles were unsatisfied with the quality of the field turf during a game and didn't feel they were able to play their best, but emphasized that did not result in their loss as the other team experienced the same situation.",0,10,8,7,6325.44572514171,3968.1108033241,,,0.0790680715642714,
40,4,1,4,17d3bcb00c6c,Control,Drug overdoses,one,3,2,3,3,5,4,4,5,4,4,Woman,White/Caucasian/European,High School,26,,,,1678807564161,1678808079970,8.59681666666667,second,8,Emily,27,The players say the turf on the field made it harder for them to play their best.,0,11,13,13,6070.08821669262,3961.89576883385,,,0.0758761027086578,
41,3,1,4,17d3bcb00c6c,Control,Drug-use disorder,one,3,2,3,3,5,4,4,5,4,4,Woman,White/Caucasian/European,High School,26,,,,1678807564161,1678808079970,8.59681666666667,second,8,Emily,27,The players say the turf on the field made it harder for them to play their best.,0,11,13,13,0.276444814063908,0.218711300309597,,,0.0276444814063908,
42,4,1,4,17d3bcb00c6c,Control,Synthetic opioids,one,3,2,3,3,5,4,4,5,4,4,Woman,White/Caucasian/European,High School,26,,,,1678807564161,1678808079970,8.59681666666667,second,8,Emily,27,The players say the turf on the field made it harder for them to play their best.,0,11,13,13,9050.45910305424,-1837.98337950138,,,0.113130738788178,
43,3,3,3,1178a9e83163,Control,Drug overdoses,one,3,3,2,2,3,3,4,3,3,4,Man,White/Caucasian/European,Undergraduate,72,,,,1678807692577,1678808987320,21.57905,1,8,Emiy,27,The field condition was an issue of contention for the Eagles.,0,10,10,10,11099.0889438406,8833.46268301728,,,0.138738611798008,
44,3,3,3,1178a9e83163,Control,Drug-use disorder,one,3,3,2,2,3,3,4,3,3,4,Man,White/Caucasian/European,Undergraduate,72,,,,1678807692577,1678808987320,21.57905,1,8,Emiy,27,The field condition was an issue of contention for the Eagles.,0,10,10,10,0.365370572340381,0.299277391620711,,,0.0365370572340381,
45,3,2,3,1178a9e83163,Control,Synthetic opioids,one,3,3,2,2,3,3,4,3,3,4,Man,White/Caucasian/European,Undergraduate,72,,,,1678807692577,1678808987320,21.57905,1,8,Emiy,27,The field condition was an issue of contention for the Eagles.,0,10,10,10,12040.3076886382,9859.9429806527,,,0.150503846107978,
46,4,4,4,5f8a9de208cb,Categorize,Drug overdoses,one,4,4,4,4,5,5,1,5,5,1,Woman,White/Caucasian/European,Undergraduate,69,,,,1678807715448,1678808748687,17.22065,first,8,Emily,9,Both teams played on the same field for the game. The losing team could not blame turf conditions as the reason for losing. ,0,16,11,11,6780.31728310158,4764.26934984521,,,0.0847539660387698,
47,4,4,4,5f8a9de208cb,Categorize,Drug-use disorder,one,4,4,4,4,5,5,1,5,5,1,Woman,White/Caucasian/European,Undergraduate,69,,,,1678807715448,1678808748687,17.22065,first,8,Emily,9,Both teams played on the same field for the game. The losing team could not blame turf conditions as the reason for losing. ,0,16,11,11,4.47149350149136,3.86905959752322,,,0.447149350149136,
48,4,4,3,5f8a9de208cb,Categorize,Synthetic opioids,one,4,4,4,4,5,5,1,5,5,1,Woman,White/Caucasian/European,Undergraduate,69,,,,1678807715448,1678808748687,17.22065,first,8,Emily,9,Both teams played on the same field for the game. The losing team could not blame turf conditions as the reason for losing. ,0,16,11,11,11515.3096933934,2251.12096029548,,,0.143941371167417,
49,3,3,3,bea8c6184054,Control,Drug overdoses,one,3,3,3,3,2,3,3,3,3,3,Man,African American/Black,Undergraduate,34,,,,1678807720808,1678808588797,14.4664833333333,First,8,Emily,27,Eagles Frustrated with field conditions. ,0,12,8,9,15691.4612489874,14137.9027670279,,,0.196143265612343,
50,3,3,3,bea8c6184054,Control,Drug-use disorder,one,3,3,3,3,2,3,3,3,3,3,Man,African American/Black,Undergraduate,34,,,,1678807720808,1678808588797,14.4664833333333,First,8,Emily,27,Eagles Frustrated with field conditions. ,0,12,8,9,1.33508756112461,1.0959750180397,,,0.133508756112461,
51,3,3,3,bea8c6184054,Control,Synthetic opioids,one,3,3,3,3,2,3,3,3,3,3,Man,African American/Black,Undergraduate,34,,,,1678807720808,1678808588797,14.4664833333333,First,8,Emily,27,Eagles Frustrated with field conditions. ,0,12,8,9,19883.8618129677,-7602.65999574388,,,0.248548272662096,
52,4,3,4,9971e27c31a9,Draw,Drug overdoses,one,5,5,5,5,5,5,5,5,5,5,Man,White/Caucasian/European,High School,25,,,,1678807725806,1678808016555,4.84581666666667,2nd,8,Emily ,3,"The field turf the Eagles played on was awful, and may have been to blame for both teams’ bad play ",0,20,15,15,6858.57898127636,-5218.44478844169,29470.5640059758,-20179.7450980392,0.0857322372659545,0.368382050074698
53,4,5,5,9971e27c31a9,Draw,Drug-use disorder,one,5,5,5,5,5,5,5,5,5,5,Man,White/Caucasian/European,High School,25,,,,1678807725806,1678808016555,4.84581666666667,2nd,8,Emily ,3,"The field turf the Eagles played on was awful, and may have been to blame for both teams’ bad play ",0,20,15,15,0.512555616788864,0.390054179566563,2.99425252103557,2.47880546955624,0.0512555616788864,0.299425252103557
54,4,5,5,9971e27c31a9,Draw,Synthetic opioids,one,5,5,5,5,5,5,5,5,5,5,Man,White/Caucasian/European,High School,25,,,,1678807725806,1678808016555,4.84581666666667,2nd,8,Emily ,3,"The field turf the Eagles played on was awful, and may have been to blame for both teams’ bad play ",0,20,15,15,15351.6610495726,1701.02862419206,13204.3753104221,-2376.53370267775,0.191895763119658,0.165054691380276
55,5,5,5,2cc0f49f9211,Draw,Drug overdoses,one,5,5,4,5,5,5,1,5,5,1,Man,White/Caucasian/European,High School,23,,,,1678807811001,1678809254952,24.06585,Second,8,Emily ,3,The Eagles said that poor field conditions affected their game.,0,19,11,11,7058.65690677534,5926.5430599563,7650.45422489145,5603.77557984028,0.0882332113346918,0.0956306778111432
56,5,3,5,2cc0f49f9211,Draw,Drug-use disorder,one,5,5,4,5,5,5,1,5,5,1,Man,White/Caucasian/European,High School,23,,,,1678807811001,1678809254952,24.06585,Second,8,Emily ,3,The Eagles said that poor field conditions affected their game.,0,19,11,11,0.386658271663583,0.360614794720314,1.28224047541559,1.25326863102869,0.0386658271663583,0.128224047541559
57,5,5,5,2cc0f49f9211,Draw,Synthetic opioids,one,5,5,4,5,5,5,1,5,5,1,Man,White/Caucasian/European,High School,23,,,,1678807811001,1678809254952,24.06585,Second,8,Emily ,3,The Eagles said that poor field conditions affected their game.,0,19,11,11,21504.3409517104,19362.59889758,17619.4497405713,-6262.09486993594,0.26880426189638,0.220243121757141
58,2,2,3,b79291e7918d,Draw,Drug overdoses,one,2,2,2,3,4,4,2,4,4,1,Man,White/Caucasian/European,Undergraduate,23,,,,1678807843773,1678808592032,12.4709833333333,Second,8,Emily,27,"During the 2023 Super Bowl, players and coaches were frustrated by the turf used for the game. ",0,9,10,9,9348.68417791509,-5264.36842105263,6229.83495741925,2327.79101159378,0.116858552223939,0.0778729369677406
59,2,2,3,b79291e7918d,Draw,Drug-use disorder,one,2,2,2,3,4,4,2,4,4,1,Man,White/Caucasian/European,Undergraduate,23,,,,1678807843773,1678808592032,12.4709833333333,Second,8,Emily,27,"During the 2023 Super Bowl, players and coaches were frustrated by the turf used for the game. ",0,9,10,9,0.271188648845828,-0.150671008792086,3.01057105152726,2.74179587979312,0.0271188648845828,0.301057105152726
60,2,2,3,b79291e7918d,Draw,Synthetic opioids,one,2,2,2,3,4,4,2,4,4,1,Man,White/Caucasian/European,Undergraduate,23,,,,1678807843773,1678808592032,12.4709833333333,Second,8,Emily,27,"During the 2023 Super Bowl, players and coaches were frustrated by the turf used for the game. ",0,9,10,9,10509.0740868356,8261.41814909396,14047.6271987284,-4423.34468057479,0.131363426085445,0.175595339984105
61,4,1,3,5a51b94859df,Draw,Drug overdoses,one,3,3,3,4,4,5,5,4,5,5,Woman,White/Caucasian/European,Undergraduate,48,,,,1678807854096,1678808384299,8.83671666666667,first,8,emily,9,the field conditions at 2032 super bowl were poor,0,13,14,14,9432.3585892457,-3500.90264206011,7102.58613530375,98.68884441111,0.117904482365571,0.0887823266912968
62,3,2,3,5a51b94859df,Draw,Drug-use disorder,one,3,3,3,4,4,5,5,4,5,5,Woman,White/Caucasian/European,Undergraduate,48,,,,1678807854096,1678808384299,8.83671666666667,first,8,emily,9,the field conditions at 2032 super bowl were poor,0,13,14,14,2.38022271000579,1.91124903124798,3.05773419953554,2.54695594559267,0.238022271000579,0.305773419953554
63,3,2,3,5a51b94859df,Draw,Synthetic opioids,one,3,3,3,4,4,5,5,4,5,5,Woman,White/Caucasian/European,Undergraduate,48,,,,1678807854096,1678808384299,8.83671666666667,first,8,emily,9,the field conditions at 2032 super bowl were poor,0,13,14,14,11936.2860876291,10170.192062702,19848.3816384089,-7794.71863999019,0.149203576095363,0.248104770480111
64,3,2,4,17b7a5586ca8,Control,Drug overdoses,one,3,4,3,3,3,3,3,4,5,4,Prefer not to say,African American/Black,Undergraduate,32,,,,1678807952271,1678809673000,28.6788166666667,first,7,Emily,27,poor turf ruins the chances of wining for players,0,13,9,13,8189.95870811959,6719.37770897833,,,0.102374483851495,
65,3,3,3,17b7a5586ca8,Control,Drug-use disorder,one,3,4,3,3,3,3,3,4,5,4,Prefer not to say,African American/Black,Undergraduate,32,,,,1678807952271,1678809673000,28.6788166666667,first,7,Emily,27,poor turf ruins the chances of wining for players,0,13,9,13,3.26498788168272,2.77598684210526,,,0.326498788168272,
66,4,4,4,17b7a5586ca8,Control,Synthetic opioids,one,3,4,3,3,3,3,3,4,5,4,Prefer not to say,African American/Black,Undergraduate,32,,,,1678807952271,1678809673000,28.6788166666667,first,7,Emily,27,poor turf ruins the chances of wining for players,0,13,9,13,4566.49617448584,274.666666666668,,,0.0570812021810731,
67,2,1,3,9ca837f0bb4d,Control,Drug overdoses,one,3,2,3,3,4,4,1,4,4,1,Man,White/Caucasian/European,Undergraduate,32,,,,1678807994581,1678808724642,12.1676833333333,2nd,8,Emily,0,The conditions of the field adversely affected both teams but ultimately didn't decide the game. ,0,11,9,9,6401.06932997872,4144.81655742066,,,0.080013366624734,
68,3,2,3,9ca837f0bb4d,Control,Drug-use disorder,one,3,2,3,3,4,4,1,4,4,1,Man,White/Caucasian/European,Undergraduate,32,,,,1678807994581,1678808724642,12.1676833333333,2nd,8,Emily,0,The conditions of the field adversely affected both teams but ultimately didn't decide the game. ,0,11,9,9,3.31949006592271,2.54459496095577,,,0.331949006592271,
69,3,2,3,9ca837f0bb4d,Control,Synthetic opioids,one,3,2,3,3,4,4,1,4,4,1,Man,White/Caucasian/European,Undergraduate,32,,,,1678807994581,1678808724642,12.1676833333333,2nd,8,Emily,0,The conditions of the field adversely affected both teams but ultimately didn't decide the game. ,0,11,9,9,12963.7888539371,12116.5417658558,,,0.162047360674214,
70,4,2,5,5af6bebc39aa,Control,Drug overdoses,one,4,3,4,5,5,5,2,5,5,1,Woman,White/Caucasian/European,Undergraduate,43,,,,1678808047265,1678809083893,17.2771333333333,2,8,Emily,0,The turf on the field of this years Super Bowl was harder for the football teams to play on but they weren't using it as an excuse.,0,16,12,11,2916.30952738539,841.152734778116,,,0.0364538690923173,
71,2,1,3,5af6bebc39aa,Control,Drug-use disorder,one,4,3,4,5,5,5,2,5,5,1,Woman,White/Caucasian/European,Undergraduate,43,,,,1678808047265,1678809083893,17.2771333333333,2,8,Emily,0,The turf on the field of this years Super Bowl was harder for the football teams to play on but they weren't using it as an excuse.,0,16,12,11,1.20145455647889,1.0484326625387,,,0.120145455647889,
72,5,3,5,5af6bebc39aa,Control,Synthetic opioids,one,4,3,4,5,5,5,2,5,5,1,Woman,White/Caucasian/European,Undergraduate,43,,,,1678808047265,1678809083893,17.2771333333333,2,8,Emily,0,The turf on the field of this years Super Bowl was harder for the football teams to play on but they weren't using it as an excuse.,0,16,12,11,8632.99947269469,7233.11542012927,,,0.107912493408684,
73,4,4,4,14b7ed305de9,Draw,Drug overdoses,one,4,4,4,4,4,5,3,5,5,3,Woman,Hispanic/Latino,Undergraduate,35,,,,1678808109116,1678809290862,19.6957666666667,first,7,June,27,The eagles are blaming the field conditions for their loss against the Arizona chiefs.,0,16,12,13,7906.66416287839,5051.6790505676,11207.4560073361,-6126.85552115583,0.0988333020359799,0.140093200091701
